Nome Fantasia;CNPJ;Porte;UF;Localidade;Email Comercial
RESTAURANTE E LANCHONETE ARAUCARIA;00.128.480/0001-70;MICROEMPRESA;SC;Lages;armando.mello@bol.com.br
BAR AGUA DE BEBE;00.146.484/0001-81;MICROEMPRESA;BA; - ;FISCALJFCONTABILIDADE@GMAIL.COM
BAR DO TIAO;00.151.795/0001-39;DEMAIS;GO;Crixás;metalcontabil@brturbo.com.br
RESTAURANTE E LANCHONETE ALMANARA;00.152.802/0001-17;MICROEMPRESA;SP;Pirapozinho;restaurantealmanara@hotmail.com
Hotel Beira Rio Business Center;00.153.470/0001-95;DEMAIS;RS;Restinga Seca;comercial@hotelbeirarioeventos.com.br
CABANA GABRIELA;00.155.300/0001-40;MICROEMPRESA;BA;Ilhéus;CABANAGABRIELA@UOL.COM.BR
RESTAURANTE ELY & JOSY;00.177.797/0001-05;MICROEMPRESA;BA;São Francisco do Conde;quiosquesaveiro@gmail.com
RESTAURANTE MANCHINI;00.200.532/0001-72;MICROEMPRESA;SC;Itapiranga;manchinieventos@yahoo.com.br
RESTAURANTE MANCHINI;00.200.532/0002-53;MICROEMPRESA;SC;Itapiranga;MANCHINIEVENTOS@YAHOO.COM.BR
FAMILIA MUCCINI;00.202.998/0001-07;EMPRESA DE PEQUENO PORTE;PB;João Pessoa;MARCOS@SAPOREONLINE.COM
POUSADA DAS CANOAS;00.203.502/0002-09;MICROEMPRESA;CE;Acaraú;joaoivofilho@hotmail.com
BAR E LANCHONETE CENTRO OESTE;00.204.784/0001-70;MICROEMPRESA;MS;Costa Rica;hernando_g77@hotmail.com
PADARIA VO FLOR;00.212.516/0001-08;MICROEMPRESA;SC;Florianópolis;PADARIAVOFLOR@GMAIL.COM
LANCHONETE, RESTAURANTE E POUSADAS O PORAO;00.219.965/0001-70;MICROEMPRESA;PR;Porto Rico;luizporao@hotmail.com
CHURRASCARIA E PIZZARIA BEIRA RIO;00.223.693/0001-81;MICROEMPRESA;GO;Santa Terezinha de Goiás;st-acecomh@hotmail.com
Quitanda & Pão Nosso;00.243.756/0001-61;MICROEMPRESA;ES;Jaguaré;quitandapaonosso@hotmail.com
SABOR A MI;00.253.703/0001-21;EMPRESA DE PEQUENO PORTE;AM;Manaus;RICARDO@RESTAURANTESABORAMI.COM.BR
GRAN D'S BAR;00.261.786/0001-09;MICROEMPRESA;RS;Nova Prata;bina@grandsbar.com.br
CINDY CONFEITARIA;00.273.143/0001-77;MICROEMPRESA;SP;Ribeirão Pires;and.cindyconfeitaria@gmail.com
RESTAURANTE Q'DELICIA;00.273.867/0001-10;MICROEMPRESA;BA;Camamu;mcpereira3@hotmail.com
MERCADINHO TIO CORREIA;00.273.913/0001-81;MICROEMPRESA;BA;Entre Rios;correia_jose62@hotmail.com
RECEPTIVO E RESTAURANTE FRUTOS DO MAR;00.282.468/0001-16;MICROEMPRESA;AL;Maragogi;BETOLARANJEIRA@HOTMAIL.COM
Castelinho Restaurante e Espaço Turístico;00.303.342/0001-80;MICROEMPRESA;SP;Mairiporã;contato@worldlazer.com.br
SAPORE D'ÍTALIA;00.305.569/0001-65;EMPRESA DE PEQUENO PORTE;PB;João Pessoa;MARCOS@SAPOREONLINE.COM
RESTAURANTE DA MONICA;00.309.002/0001-67;MICROEMPRESA;PE;Ipojuca;monicamaracaipe@gmail.com
DE LIRA RESTAURANTE E PIZZARIA;00.317.120/0001-17;EMPRESA DE PEQUENO PORTE;ES;Vila Velha;delira@uol.com.br
PORTO JOFRE PANTANAL;00.320.176/0001-20;MICROEMPRESA;MT;Poconé;pjofre@terra.com.br
VANICE RAHAL RESTAURANTE - EPP;00.346.894/0001-76;EMPRESA DE PEQUENO PORTE;SP;Ubatuba;RESTAURANTE.TERRA@UOL.COM.BR
LIMA BAR E LANCHONETE;00.348.304/0001-44;MICROEMPRESA;AM;São Gabriel da Cachoeira;limalanc808@gmail.com
HOTEL 1 OPÇÃO;00.361.359/0001-94;MICROEMPRESA;GO;Sanclerlândia;escritorio@contabilidadearruda.com
RESTAURANTE DO PONTO;00.381.062/0001-90;MICROEMPRESA;MG;Governador Valadares;restaurantedopontogv@gmail.com
Avenida Drinks;00.385.855/0001-88;MICROEMPRESA;PB;Campina Grande;tatianevs13@gmail.com
FRIBOURG;00.393.093/0003-23;EMPRESA DE PEQUENO PORTE;RJ;Nova Friburgo;cristianofribourg@gmail.com
CHOPERIA BAVIERA;00.396.452/0001-34;MICROEMPRESA;PR;Ponta Grossa;recepcao@winnercontabilidade.com
GELADO OU NATURAL;00.404.833/0001-18;MICROEMPRESA;AL;Maceió;geladoounatural@gmail.com
SUPERMERCADO BIAS FORTES;00.406.864/0001-08;EMPRESA DE PEQUENO PORTE;MG;Brasília de Minas;SUPERMERCADOBIASFORTES@GMAIL.COM
CHURRASCARIA DO REGILSON;00.448.119/0001-21;MICROEMPRESA;AC;Sena Madureira;cosmamaria48@hotmail.com
SABOR DA TERRA;00.448.667/0001-51;MICROEMPRESA;RJ;Paraty;meg@souzaveloso.com.br
CLAERRO SORVETES;00.478.186/0001-99;MICROEMPRESA;GO;Caldas Novas;admclaerro@gmail.com
BAR E RESTAURANTE FURRUPAS;00.489.303/0001-10;MICROEMPRESA;DF;Brasília;elias_lsouza@hotmail.com
BUFFET IVO FARIA;00.508.669/0001-99;EMPRESA DE PEQUENO PORTE;MG;Belo Horizonte;BETE@VECCHIOSOGNO.COM.BR
MERCADINHO UMUARAMA;00.514.384/0001-60;MICROEMPRESA;MG;Uberlândia;MERCADINHOUMUARAMA@HOTMAIL.COM
FOGAO A LENHA RESTAURANTE & LOJA DE CONVENIENCIA;00.520.186/0001-00;MICROEMPRESA;MG;Lavras;unirempreendedora@outlook.com.br
Lanchonete e Restaurante Lunge Ltda ;00.539.913/0001-80;MICROEMPRESA;SC;Pomerode;restaurantelunge@gmail.com
DOCE GULA;00.540.505/0001-49;MICROEMPRESA;SC;Quilombo;DOCE-GULA1@HOTMAIL.COM
FERNANDO'S RESTAURANTE LTDA-ME;00.570.215/0001-48;MICROEMPRESA;GO;Aparecida de Goiânia;fernandosrestaurante@hotmail.com
Restaurante do Kananga;00.586.415/0001-99;MICROEMPRESA;MG;Água Boa;ctpedraspreciosas@gmail.com
POUSADA PANTANEIRA;00.594.004/0001-45;MICROEMPRESA;MT;Poconé;hotelchurrascariapantaneira@gmail.com
BONISSIMO;00.607.061/0001-11;EMPRESA DE PEQUENO PORTE;MG;Belo Horizonte;planetasabor@yahoo.com.br
OZAKI'S HOTEL;00.616.947/0001-21;MICROEMPRESA;PA;Tailândia;HOTELOZAKI@HOTMAIL.COM
SOS LANCHES E SUCOS;00.635.980/0001-07;MICROEMPRESA;SP;Tambaú;macatrozzo@strnet.com.br
BAR DO CAMARAO;00.646.891/0001-58;MICROEMPRESA;RJ;Nova Friburgo;paulo.pedrosa12@gmail.com
RESTAURANTE PONTO CERTO;00.674.496/0001-89;MICROEMPRESA;MS;Nova Andradina;jdpontocerto1422@hotmail.com
DONA ZETTI CAFE E CONFEITARIA;00.678.860/0001-89;EMPRESA DE PEQUENO PORTE;MT;Sinop;atendimento@donazetti.com.br
B HOTEL;00.687.681/0001-08;DEMAIS;DF;Brasília;controller@bhotelbrasilia.com.br
RESTAURANTE DOIS BERNARDI;00.700.119/0001-77;MICROEMPRESA;SC;Apiúna;pentalje@terra.com.br
MISTER COOK;00.701.583/0001-88;EMPRESA DE PEQUENO PORTE;ES;Vitória;mister.cook@hotmail.com
DIVINO PARAÍSO;00.701.894/0001-47;MICROEMPRESA;DF;Brasília;cida.cordova@gmail.com
CHURASCARIA FOGO DO GALPÃO;00.735.389/0001-13;DEMAIS;DF;Brasília;diceumaronzi@yahoo.com.br
PANIFICADORA MARTINS;00.741.382/0001-04;EMPRESA DE PEQUENO PORTE;MG;Uberlândia;panificadoramartins.udi@mail.com
******;00.742.049/0001-10;MICROEMPRESA;DF;Brasília;naopossui@naopossui.com.br
RESTAURANTE, PIZZARIA E POUSADA VICTOR;00.752.534/0001-74;MICROEMPRESA;PR;Ribeirão Claro;pousadavictor@pousadavictor.com.br
LANCHONETE E SORVETERIA AVENIDA;00.754.980/0001-18;MICROEMPRESA;AC;Sena Madureira;ynarasena@hotmail.com
RESTAURANTE PALADAR;00.755.225/0001-58;EMPRESA DE PEQUENO PORTE;SP;Fernandópolis;PALADARBUFFET@UOL.COM.BR
CERRADO CERVEJARIA;00.787.467/0001-23;EMPRESA DE PEQUENO PORTE;GO;Goiânia;RAFAEL@GRUPOQG.COM
FARMACIA SILVA;00.800.492/0001-08;MICROEMPRESA;BA;Mirangaba;contabilidasonia@hotmail.com
Lancheria Acco Ltda - ME;00.814.373/0001-04;MICROEMPRESA;RS;Nova Prata;lancheriaacco@gmail.com
CAMINHO DA ROCA;00.816.847/0001-49;MICROEMPRESA;SP;Cássia dos Coqueiros;edyolive@terra.com.br
PARMA LANCHES;00.817.991/0001-08;MICROEMPRESA;SC;Pomerode;cristian.roepke@hotmail.com
W EMPORIO. CAFÉ;00.823.454/0001-62;MICROEMPRESA;AL;Maceió;ABMAal-@HOTMAIL.COM
CHAFARIZ DE OURO RESTAURANTE LTDA-ME;00.826.357/0001-23;MICROEMPRESA;RJ;Guapimirim;chafarizdeouro@hotmail.com
NUTRICAMPUS;00.832.563/0001-46;MICROEMPRESA;MG;Montes Claros;NUTRICAMPUSRESTAURANTE@GMAIL.COM
RESTAURANTE E PIZZARIA W.W. JR LTDA;00.845.732/0001-82;MICROEMPRESA;BA;Correntina;juniorcorrentina2015@yahoo.com.br
RESTAURANTE PARAISO DA CARNE DO SOL;00.849.393/0001-02;MICROEMPRESA;BA;Feira de Santana;fabriciocordeirofsa@outlook.com
BAR E RESTAURANTE MUTIMA;00.850.691/0001-12;MICROEMPRESA;MG;São Francisco de Sales;conveniossales@terra.com.br
CLASS FESTAS RECEPCOES;00.854.482/0001-47;DEMAIS;PA;Belém;KRCSANTOS@OUTLOOK.COM
POUSADA E RESTAURANTE DO PAULO;00.871.382/0001-29;MICROEMPRESA;CE;Jijoca de Jericoacoara;jerilago@uol.com.br
China in Box Rosarinho;00.874.830/0001-48;EMPRESA DE PEQUENO PORTE;PE;Recife;rosarinho.cib@gmail.com
DEL MORO SUPERMERCADOS;00.877.761/0009-83;DEMAIS;MT;Tapurah;alex@delmoro.com.br
BALNEARIO BEIRA LAGO;00.883.424/0001-41;DEMAIS;BA;Casa Nova;lucianocorreia.cn@gmail.com
LANCHONETE ZE PRETINHO;00.900.578/0001-02;MICROEMPRESA;GO;Buriti Alegre;lanchonetezepretinho@hotmail.com
RESTAURANTE BOTANICO;00.912.112/0001-19;EMPRESA DE PEQUENO PORTE;GO;Goiânia;botanicorestaurante@gmail.com
GASTTRO RESTAURANTE & CAFE;00.936.254/0001-16;MICROEMPRESA;MG;Belo Horizonte;gasttro.foods@gmail.com
SORVETERIA TROPICAL;00.943.206/0001-55;MICROEMPRESA;PR;Marilândia do Sul;kelzanlorenzi@hotmail.com
CENTRO DE LAZER PINGO D' AGUA;00.950.669/0002-25;MICROEMPRESA;MG;Caxambu;AMARO@HOTELCAXAMBU.COM.BR
ESPLANADA HOTEL E RESTAURANTE;00.960.690/0001-20;EMPRESA DE PEQUENO PORTE;MT;Guarantã do Norte;esplanada_hotel@hotmail.com
RESTAURANTE GIGLIOTTI;00.964.231/0001-15;MICROEMPRESA;SP;Mineiros do Tietê;hotelgigliotti@hotmail.com
PILOES PALACE HOTEL;00.967.596/0001-01;MICROEMPRESA;GO;Mineiros;reversas@piloeshotel.com.br
ATOS RESTAURANTE;00.972.919/0001-47;MICROEMPRESA;GO;São João D'Aliança;restauranteatos@hotmail.com
Restaurante O Bananal;00.975.360/0001-09;MICROEMPRESA;PB;Lagoa Seca;brandaolf@hotmail.com
CRISLU RESTAURANTE E CONVENIENCIA;00.979.876/0001-21;EMPRESA DE PEQUENO PORTE;BA;Cairu;martinezcristiane@hotmail.com
RANCHONETE BARYLANCHES;00.991.057/0001-08;MICROEMPRESA;SP;Jacareí;ranchonetebarylanches@gmail.com
China In Box São Luís;00.992.698/0001-79;MICROEMPRESA;MA;São Luís;CIBSAOLUIS@GMAIL.COM
BAR E MERCEARIA CAETANO;00.993.836/0001-34;MICROEMPRESA;SP;Cananéia;cleideespinosa10@gmail.com
Center Pão;00.995.120/0001-76;EMPRESA DE PEQUENO PORTE;MG;Montes Claros;thiago@aguiaempresas.com.br
COLINA PARK HOTEL;01.011.855/0001-80;MICROEMPRESA;SP;Aparecida;contato@hotelcolinapark.com.br
SELFS RESTAURANTE E LANCHONETE;01.016.359/0001-10;MICROEMPRESA;ES;Vitória;willer.tavares@gmail.com.br
BAR FIOROTTI;01.031.115/0001-06;EMPRESA DE PEQUENO PORTE;ES;Itarana;zefiorotti@hotmail.com
RESTAURANTE DO MANO;01.031.452/0001-01;MICROEMPRESA;AL;Maragogi;restaurantedomano@gmail.com
SAMAUMA PARK HOTEL;01.047.648/0001-86;EMPRESA DE PEQUENO PORTE;PA;Barcarena;FALECOM@SAMAUMAPARKHOTEL.COM.BR
Restaurante Santa Luzia;01.068.334/0001-60;MICROEMPRESA;ES;Conceição do Castelo;restaurantesl@hotmail.com
RESTAURANTE E CHURRASCARIA PARADISO;01.083.241/0001-04;MICROEMPRESA;RS;Nova Prata;restauranteparadisonp@gmail.com
xico da carne;01.095.224/0001-97;MICROEMPRESA;MG;Belo Horizonte;rodig_80@yahoo.com.br
TIA DULCE & DULCE MONTEIRO RECEPCOES;01.100.994/0001-80;MICROEMPRESA;PE;Olinda;meriguette@gmail.com
SORVETERIA KASKITA;01.114.627/0001-36;MICROEMPRESA;AL;Viçosa;bcontroller@bcontroller.com.br
LANCHONETE DO RUFU;01.117.005/0001-61;MICROEMPRESA;MG;Bonfinópolis de Minas;SIL.CONTAB@UOL.COM.BR
SPAGHETTO & GRILL;01.124.546/0001-17;EMPRESA DE PEQUENO PORTE;DF;Brasília;andrea@andreabuffet.com.br
BAR E RESTAURANTE DO CARUARU;01.143.542/0001-86;MICROEMPRESA;PE;Tamandaré;empresarial_alves@hotmail.com
OFICINA DO LANCHE;01.152.509/0001-12;EMPRESA DE PEQUENO PORTE;GO;Goiânia;ROGERIOVIEIRAJR@GMAIL.COM
Churrasqueria do Tchê;01.158.270/0001-98;MICROEMPRESA;SP;Hortolândia;adrianarekants@gmail.com
SORVETERIA CASA LINDA;01.160.567/0001-98;MICROEMPRESA;SP;Paraibuna;jonatas.almeida@paraibuna.sp.gov.br
POUSADA PAIOL;01.163.228/0001-65;MICROEMPRESA;SP;Atibaia;reservas@pousadapaiol.com.br
CAFE REGIONAL DA FATIMA;01.171.159/0001-31;MICROEMPRESA;AM;Itacoatiara;maria_dejesus.s.m@hotmail.com
Ghellere Restaurante e Pousada;01.171.696/0001-81;EMPRESA DE PEQUENO PORTE;SC;Siderópolis;ghellere@ghellere.com.br
TRUTA VIVA;01.172.908/0001-45;MICROEMPRESA;RJ;Itatiaia;contabilidadegeral_@hotmail.com
Bar Nova Esperança;01.173.800/0001-77;MICROEMPRESA;PR;Rio Azul;rioazul.ivandir@yahoo.com
HOTEL PARQUE DAS PRIMAVERAS;01.173.871/0001-70;DEMAIS;GO;Caldas Novas;financeiro@hotelparquedasprimaveras.com
LANCHONETEE E PIZZARIA BATATA;01.178.643/0001-92;MICROEMPRESA;MG;Borda da Mata;celsobatata@yahoo.com.br
DOMANI RESTAURANTE;01.182.300/0001-00;EMPRESA DE PEQUENO PORTE;PB;João Pessoa;restaurante.domani@gmail.com
TAPERA BRANCA RESTAURANTE;01.183.050/0001-14;EMPRESA DE PEQUENO PORTE;SP;Caraguatatuba;mariotapera@uol.com.br
RESTAURANTE O COMPADRE;01.211.430/0001-15;MICROEMPRESA;RO; - ;ocompadrerestaurante@hotmail.com
BAHIA HOTEL & RESTAURANTE;01.214.127/0001-76;MICROEMPRESA;RO;São Miguel do Guaporé;bahiahotel.3@hotmail.com
Restaurante e Churrascaria da Dodora;01.219.705/0001-67;MICROEMPRESA;PE;Barra de Guabiraba;cristhineisaac2015@gmail.com
PARAISO DO BAIXINHO;01.234.635/0001-16;MICROEMPRESA;SE;Aracaju;gugafelix@infonet.com.br
HOTEL POUSADA MARAZUL;01.257.318/0001-15;MICROEMPRESA;SP;Cananéia;contato@hotelmarazul.com.br
KATIAS BAR E PADARIA;01.267.468/0001-00;MICROEMPRESA;MG;Virgolândia;luizfernando@virgolandia.mg.gov.br
NOSSA FAZENDINHA;01.270.790/0001-98;EMPRESA DE PEQUENO PORTE;MG;Brumadinho;michelempaula@gmail.com
CASTELO PIZZARIA;01.277.203/0001-92;MICROEMPRESA;CE;Acaraú;casteloencantadoacarau@hotmail.com
BOCA VICOSA;01.277.666/0001-54;EMPRESA DE PEQUENO PORTE;MG;Viçosa;bv.adm@hotmail.com
M Dias Ferreira/Hotel Tropical;01.281.179/0001-65;MICROEMPRESA;MT;Confresa;hotelreal_confresa@hotmail.com
PANTANAL HOTEL;01.293.611/0001-38;MICROEMPRESA;MS;Miranda;pantanalhotel@pantanalhotel.com.br
LABINHO PIZZARIA;01.294.161/0001-06;MICROEMPRESA;MG;Itabira;Labinhopizzariaerestaurante@yahoo.com.br
RESTAURANTE E LANCHONETE 120;01.298.710/0001-02;DEMAIS;MT;Poconé;restaurante120@terra.com.br
RESTAURANTE TARTARUGA;01.304.603/0001-40;EMPRESA DE PEQUENO PORTE;SC;Imbituba;rtartaruga@hotmail.com
CLAERRO SORVETES;01.306.134/0001-06;MICROEMPRESA;GO;Caldas Novas;resultadoscontabeis@gmail.com
RESTAURANTE SILVIA;01.308.349/0001-58;MICROEMPRESA;AC;Plácido de Castro;silvia.3738@hotmail.com
C Q SAB LANCHES;01.316.916/0001-18;MICROEMPRESA;MG;Andradas;serginhocontabil@hotmail.com
LANCHONETE LANCHEBEM;01.336.495/0001-97;MICROEMPRESA;GO;São Miguel do Araguaia;marcosferreira576@hotmail.com
HOTEL E RESTAURANTE ROMA;01.346.360/0001-02;EMPRESA DE PEQUENO PORTE;GO;Caldas Novas;reservas@diroma.com.br
BAR E RESTAURANTE CAMILLO;01.348.175/0001-57;MICROEMPRESA;SP;Brotas;contato@restaurantecamillo.com.br
POUSADA GRUTA;01.349.609/0001-33;MICROEMPRESA;CE;Ubajara;pousadagruta@hotmail.com
COMEDORIA SUECA;01.359.497/0001-00;MICROEMPRESA;AL;Maceió;financeiro@suecacomedoria.com.br
RESTAURANTE E POUSADA ZERO GRAU;01.366.636/0001-14;MICROEMPRESA;RJ;Nova Friburgo;restepousadazerograu@hotmail.com
RESTAURANTE GRAND BEER;01.373.098/0001-95;EMPRESA DE PEQUENO PORTE;MT;Rondonópolis;cervejaria.grandbeer@hotmail.com
SANTINO RESTAURANTE E CHOPERIA;01.373.706/0001-61;MICROEMPRESA;MT;Cuiabá;santinorestauranteechoperia@hotmail.com
Restaurante do Pinguinha;01.390.180/0001-28;MICROEMPRESA;MG;Uberlândia;administrativo@udiservice.com.br
*****;01.390.674/0001-02;EMPRESA DE PEQUENO PORTE;GO;Goiânia;ferbariani@hotmail.com
RANCHO CANABRAVA;01.418.153/0001-16;MICROEMPRESA;DF;Brasília;ranchocanabrava@gmail.com
MIRANTE DO VALE BUFE;01.425.218/0001-50;MICROEMPRESA;RN;Goianinha;jsgrilo.cont@gmail.com
XARAK SUPER LANCHES LTDA - EIRELI - EPP;01.447.320/0001-57;EMPRESA DE PEQUENO PORTE;SP;São Paulo;calahans@uol.com.br
QUIOSQUE DO COCO VERDE E FRUTOS DO MAR;01.456.684/0001-01;MICROEMPRESA;SP;Caraguatatuba;mmsalvi12@gmail.com
CAMARÃO & CIA;01.469.210/0001-96;MICROEMPRESA;GO;Goiânia;diretoria@controleempresa.com.br
Potatoes Pizzaria, Batataria e Hamburgueria;01.485.041/0001-88;MICROEMPRESA;SP;São Pedro;simonedeangelo@hotmail.com
DAISEN;01.486.757/0001-08;MICROEMPRESA;RJ;Rio de Janeiro;michael.anderson@outlook.com.br
ABRACADABRA;01.489.629/0001-00;MICROEMPRESA;MG;Ipatinga;itamardecastro@bol.com.br
NATURAL ALIMENTOS;01.506.917/0001-25;MICROEMPRESA;GO;Goiânia;orlindofernando@gmai.com
restaurante e lanchonete jardim do sol ;01.521.338/0001-51;MICROEMPRESA;SP;Sales;fernando.cuelhar01@etec.sp.gov.br
POUSADA CANOEIROS;01.523.808/0001-16;MICROEMPRESA;GO;São Miguel do Araguaia;reservas@pousadacanoeiros.com.br
RESTAURANTE E PIZZARIA CHEIRO VERDE;01.571.127/0001-23;MICROEMPRESA;AC;Sena Madureira;joaonunessm@gmail.com
RANCHOS GRILL;01.572.830/0001-56;EMPRESA DE PEQUENO PORTE;GO;Goiânia;ranchosgastronomia@outlook.com
RESTAURANTE NIKKEY;01.577.074/0001-58;MICROEMPRESA;PR;Piraí do Sul;tadashinikei@yahoo.com.br
SOLAR DA ÁGUIA;01.579.202/0001-00;MICROEMPRESA;DF;Brasília;solardaaguia@hotmail.com
CONVICIO'S LANCHES;01.585.628/0001-69;MICROEMPRESA;SP;Valentim Gentil;vereadorzete@hotmail.com
CAFE DO PARQUE;01.608.542/0001-04;MICROEMPRESA;RS;São Miguel das Missões;contato@tolfocontabilidade.com.br
FEIJAO & CIA;01.636.239/0001-15;MICROEMPRESA;GO;Goiânia;feijaoecia2000@hotmail.com
BAR ARNALDO;01.649.004/0001-68;MICROEMPRESA;SC;Ouro Verde;solange.pratto@yahoo.com
CHURRASCARIA E LANCHONETE SUCAL;01.657.685/0001-06;EMPRESA DE PEQUENO PORTE;GO;Jataí;churrascariasucal@hotmail.com
BUFFET ITALIANO;01.670.716/0001-69;EMPRESA DE PEQUENO PORTE;PR;Irati;tatimenon88@hotmail.com
COMERCIAL MATIA;01.673.901/0001-07;MICROEMPRESA;SC;Celso Ramos;hotelmatia@gmail.com
Buffet Janine's;01.678.112/0001-69;MICROEMPRESA;PR;Ponta Grossa;administrativo@buffetjanines.com.br
Restaurante e Eventos Ninho da Roxinha;01.681.886/0001-49;EMPRESA DE PEQUENO PORTE;ES;Serra;restaurante@ninhodaroxinha.com.br
QUEDAS PARK HOTEL;01.684.777/0006-90;DEMAIS;SC;Abelardo Luz;administracao@quedasparkhotel.com.br
ECO RESORT SERRA IMPERIAL;01.704.464/0001-41;MICROEMPRESA;RJ;Nova Friburgo;DANIEL@SERRAIMPERIAL.COM
BAR E RESTAURANTE BRASIL;01.706.951/0001-43;MICROEMPRESA;GO;Goiás;suzymagra@yahoo.com.br
BALACOBACO RESTAURANTE SELF SERVICE;01.710.041/0001-34;MICROEMPRESA;AC;Cruzeiro do Sul;zefarinhada@hotmail.com
BANANA OURO;01.715.469/0001-70;MICROEMPRESA;MG;São Lourenço;debora@starweb.com.br
RETIRO DAS LAGES RESTAURANTE PESQUE E PAGUE;01.722.919/0001-51;MICROEMPRESA;MG;Inhaúma;retirodaslages@hotmail.com
BAR E RESTAURANTE CASTANHAL;01.723.139/0001-26;EMPRESA DE PEQUENO PORTE;MT;Itaúba;GRUPOCASTANHALCOMPRAS@GMAIL.COM
ANCORADOURO;01.747.578/0001-79;MICROEMPRESA;AL;Maceió;financeirokanoa@outlook.com
RESTAURANTE BRASIL;01.749.429/0001-49;EMPRESA DE PEQUENO PORTE;SP;São José do Rio Pardo;adm23dalilahotel@gmail.com
BIG HOUSE LANCHONETE E PIZZARIA;01.759.665/0001-46;MICROEMPRESA;SP;Pereira Barreto;escrmercurio@ig.com.br
BAR E POUSADA FAROL;01.767.927/0001-14;MICROEMPRESA;PA;Belém;pousadafarol213@gmail.com
padaria diamantina;01.770.151/0001-91;MICROEMPRESA;MG;Belo Horizonte;mardeniovieiramv@gmail.com
PANELA DE FERRO;01.776.363/0001-86;MICROEMPRESA;GO;Vianópolis;luciacaixetavps@hotmail.com
RESTAURANTES TUCANOS GRILL;01.776.980/0001-81;EMPRESA DE PEQUENO PORTE;DF;Brasília;alvesbranco88@gmail.com
RESTAURANTE E ESPETINHO DO IVAN;01.782.643/0001-05;MICROEMPRESA;PA;Conceição do Araguaia;fd_1810@hotmail.com
QUIOSQUE NEW POINT;01.804.099/0001-47;MICROEMPRESA;SP;Guarujá;contdumont@litoral.com.br
RESTAURANTE ROTA DO SUL;01.809.606/0001-35;MICROEMPRESA;RS;Tio Hugo;restauranterotadosul@hotmail.com
MARODIN CHURRASCARIAS E BUFFET;01.845.867/0001-00;EMPRESA DE PEQUENO PORTE;RS;Marau;marcelo@churrascariamarodin.com
CALDOS & CIA / CANTINHO DO PEIXE;01.857.198/0001-97;MICROEMPRESA;RJ;Campos dos Goytacazes;cantinhodopeixecampos@gmail.com
ECO POUSADA PICO DO JABRE;01.870.006/0001-82;MICROEMPRESA;PB;Maturéia;ECOPOUSADAPICODOJABRE@GMAIL.COM
RESTAURANTE OFELIA FOOD;01.891.245/0001-19;MICROEMPRESA;AC;Rio Branco;ofeliafood@gmail.com
JOAO E MARIA;01.892.701/0001-45;MICROEMPRESA;MG;Tiradentes;sergiofmoreira@terra.com.br
RESTAURANTE HORA EXTRA;01.943.113/0001-93;MICROEMPRESA;AC;Cruzeiro do Sul;restaurantehoraextra@hotmail.com
O PEIXARAO;01.964.226/0001-75;EMPRESA DE PEQUENO PORTE;AL;Maceió;maceio@opeixarao.com.br
Cantinho do Sabor;01.974.181/0001-10;MICROEMPRESA;MG;Itabira;cantinhodosaboritabira@yahoo.com.br
