Nome Fantasia;CNPJ;Porte;UF;Localidade;Email Comercial
ROMA HOTEIS E REALIZACOES LTDA;00.071.556/0008-45;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
ROMA HOTEIS E REALIZACOES - LACQUA DIROMA II;00.071.556/0009-26;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
ROMA HOTEIS E REALIZAÇÕES-LACQUA DIROMA-IV;00.071.556/0010-60;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
ROMA HOTEIS E REALIZAÇÕES-LACQUA DIROMA-V;00.071.556/0011-40;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
ROMA HOTEIS E REALIZACOES LTDA;00.071.556/0012-21;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
HOTEL SÃO MIGUEL;00.071.970/0001-88;MICROEMPRESA;GO;São Miguel do Araguaia;contato@hotelsaomiguel.com
COROA VERMELHA PRAIA HOTEL;00.074.073/0001-28;DEMAIS;BA;Porto Seguro;RESERVAS@COROAVERMELHA.COM.BR
HOTEL VIVA LO SONO;00.077.017/0001-47;DEMAIS;CE;Itapipoca;steladutra07@hotmail.com
HOTEL GIRASSOL PLAZA;00.082.535/0001-59;DEMAIS;TO;Palmas;financeiro@hotelgirassolplaza.com.br
POUSADA CAMPECHE;00.086.923/0001-08;MICROEMPRESA;BA;Porto Seguro;lucineide_felipe@hotmail.com
POUSADA VELEIRO;00.089.507/0001-63;MICROEMPRESA;CE;Fortaleza;reservas@pousadaveleiro.com
HOTEL CHEVALIER APS;00.090.935/0001-06;MICROEMPRESA;CE;Fortaleza;hotel@aps.net.br
Hotel Casa Nova;00.095.441/0002-03;MICROEMPRESA;MG;Urucânia;SOTEC_BETH@HOTMAIL.COM
PRAIA HOTEL IMBITUBA;00.096.117/0001-10;EMPRESA DE PEQUENO PORTE;SC;Imbituba;gerencia@praiahotelimbituba.com.br
RESERVA ECOLÓGICA DO JAGUAR;00.097.834/0001-67;MICROEMPRESA;MT;Poconé;rejaguar@bol.com.br
SAINT LOUIS HOTEL;00.099.203/0001-87;MICROEMPRESA;MA;Porto Franco;reservas@saintlouishoteis.com.br
BRISTOL HOTELEIRA;00.099.839/0001-29;MICROEMPRESA;PR;Curitiba;METROPOLITAN@BRISTOLHOTEIS.COM.BR
HOTEL BEIRA RIO;00.102.390/0001-00;EMPRESA DE PEQUENO PORTE;GO;Itumbiara;gerencia@hotelbeirario.com.br
PESQUEIRO DA ODILA;00.104.757/0001-25;DEMAIS;MS;Albuquerque;hotelpesqueiroodila@terra.com.br
HOTEL BRISA DOS ABROLHOS;00.106.461/0001-43;MICROEMPRESA;BA;Alcobaça;COUTINHO@VISANCO.COM.BR
Hotel Itabira;00.116.263/0001-60;MICROEMPRESA;MG;Itabira;hotelitabira@hotmail.com
HOTEL NACIONAL INN;00.124.587/0001-40;DEMAIS;SP;Campinas;financeiro@nacionalinncampinas.com.br
frontier palace hotel;00.125.052/0001-94;MICROEMPRESA;MS;Ponta Porã;reservas@hotelfrontier.com.br
HOTEL ADVANCED;00.127.531/0001-40;EMPRESA DE PEQUENO PORTE;MS;Campo Grande;reservas@hoteladvanced.com.br
HOTEL R SOARES;00.135.567/0002-56;EMPRESA DE PEQUENO PORTE;MA;Carutapera;hotelrsoares@outlook.com
GURGUEIA PALACE HOTEL;00.136.186/0001-00;MICROEMPRESA;PI;Bom Jesus;reservas@gurgueiapalacehotel.com.br
REAL CASTILHA HOTEL LTDA - EPP;00.144.058/0001-09;EMPRESA DE PEQUENO PORTE;SP;Palmeiras de São Paulo;admin@hotelcolumbia.com.br
MUITO BONITO TURISMO;00.147.211/0001-51;MICROEMPRESA;MS;Bonito;atendimento@muitobonito.com.br
HOTEL VERMONT;00.147.889/0001-34;DEMAIS;RJ;Rio de Janeiro;reservas@hotelvermont.com.br
HOTEL PALACE CATZE;00.148.596/0001-71;MICROEMPRESA;BA;Porto Seguro;jocilanesouza@yahoo.com.br
Hotel Business Center Beira Rio;00.153.470/0001-95;DEMAIS;RS;Restinga Seca;eventos@hotelbeirarioeventos.com.br
SUPER FROTA EMPREENDIMENTOS;00.159.120/0001-36;MICROEMPRESA;MA;São Luís;hotelsantosdumontslz@hotmail.com
DAVID PLAZA HOTEL LTDA - EPP;00.167.123/0001-11;EMPRESA DE PEQUENO PORTE;SP;Osasco;felipe@davidplazahotel.com.br
MASAI HOTEL;00.167.749/0001-28;EMPRESA DE PEQUENO PORTE;MT;Sapezal;reservas@masaihotel.net
POUSADA BEIRA RIO;00.169.929/0001-49;MICROEMPRESA;SP;Santo Antônio do Pinhal;contato@emicontabilidade.com.br
Hotel Pousada Barravento;00.175.099/0001-62;MICROEMPRESA;SP;Lins;hotelbarravento@terra.com.br
SCALA RESIDENCE HOTEL;00.175.921/0001-95;MICROEMPRESA;RJ;Resende;HOTEL@SCALARESIDENCEHOTEL.COM
FILLER ALIMENTOS E BEBIDAS LTDA;00.176.513/0009-05;DEMAIS;BA;Morro de São Paulo;fabio@pousadabahia10.com.br
PRIVE MARE ALTA;00.180.425/0001-20;MICROEMPRESA;PE;Nossa Senhora do Ó;privemarealta@gmail.com
CHURRASCARIA E HOTEL A KASCATA;00.181.502/0001-66;MICROEMPRESA;BA;Ribeira do Pombal;hotelerestauranteakascata@hotmail.com
ARAGUAIA PALACE HOTEL;00.184.325/0001-71;MICROEMPRESA;MT;Alto Araguaia;araguaiahotel@brturbo.com.br
HOTEL PIRAHY;00.193.172/0001-29;MICROEMPRESA;RJ;Piraí;HOTEL-PIRAI@HOTMAIL.COM
HOTEL POUSADA SAUDOSA MALOCA;00.196.651/0001-07;EMPRESA DE PEQUENO PORTE;BA;Porto Seguro;reservas@saudosamaloca.com.br
POUSADA AGUAPE;00.199.221/0001-30;MICROEMPRESA;MS;Aquidauana;reservas@pousadaaguape.com.br
HOTEL POUSADA CALLIANDRA;00.199.248/0001-23;EMPRESA DE PEQUENO PORTE;MS;Bonito;calliandra@calliandra.com.br
P1 Administracao;00.205.375/0001-98;DEMAIS;SP;São Paulo;REAL@CONTABILREAL.COM.BR
MERCURE CAMPINAS;00.205.375/0003-50;DEMAIS;SP;Campinas;H5181-Gm@ACCOR.COM.BR
IBIS CAMPINAS;00.205.375/0004-30;DEMAIS;SP;Campinas;h5181-gl@accor.com.br
IBIS SANTO ANDRE;00.205.375/0005-11;DEMAIS;SP;Santo André;h5672-dm@accor.com.br
MERCURE SANTO ANDRÉ;00.205.375/0006-00;DEMAIS;SP;Santo André;h5169-gm@accor.com.br
IBIS GUARULHOS;00.205.375/0007-83;DEMAIS;SP;Guarulhos;H5021-Gm@ACCOR.COM.BR
POUSADA BLUMENBERG;00.205.702/0001-01;MICROEMPRESA;RS;Canela;blumenberg@hotelblumenberg.com.br
HOTEL NIRO;00.206.462/0001-60;MICROEMPRESA;RS;Montenegro;hotelniro1@gmail.com
POUSADA VERDES MARES;00.214.703/0001-12;MICROEMPRESA;BA;Alcobaça;VERDESMARESBAHIA@GMAIL.COM
POUSADA DO SOL;00.216.917/0001-28;MICROEMPRESA;GO;Alto Paraíso de Goiás;solpousada@gmail.com
POUSADA JARDON LTDA - ME;00.218.963/0001-66;MICROEMPRESA;SP;Campos do Jordão;jardon@pousadajardon.com.br
LANCHONETE, RESTAURANTE E POUSADAS O PORAO;00.219.965/0001-70;MICROEMPRESA;PR;Porto Rico;luizporao@hotmail.com
HOTEL FAZENDA SÃO SEBASTIÃO;00.223.239/0001-20;MICROEMPRESA;RJ;Barra do Piraí;jaimehoracio@terra.com.br
HOTEL DEL FIOL LTDA - EPP;00.229.295/0001-72;EMPRESA DE PEQUENO PORTE;SP;Tatuí;gerencia@hoteldelfiol.com.br
HOTEL HARTMANN;00.229.604/0002-95;MICROEMPRESA;MT;Várzea Grande;claudir11@hotmail.com
HOTEL BERTOLUCI;00.230.770/0001-20;MICROEMPRESA;RS;Gramado;maia@hotelbertoluci.com.br
POUSADA COSTA AZUL LTDA - ME;00.236.618/0001-55;MICROEMPRESA;SC;Garopaba;jcapoani@terra.com.br
NOVO MUNDO HOTEL;00.237.913/0001-26;MICROEMPRESA;MT;Barra do Garças;n.mundohotel@uol.com.br
HOTEL GLORIA DE TUCUMA;00.249.281/0001-10;MICROEMPRESA;PA;Tucumã;fonseca.pizgloria@hotmail.com
HOTEL SANTA CLARA;00.251.850/0001-62;MICROEMPRESA;GO;Caldas Novas;augustocn@bol.com.br
POUSADA LYMAR;00.271.164/0001-53;MICROEMPRESA;RJ;Arraial do Cabo;lymar@pousadalymar.com.br
PALACIO DO REY;00.271.418/0001-33;DEMAIS;RJ;Rio de Janeiro;TONNYBEE@UOL.COM.BR
POUSADA DAS MENINAS;00.273.610/0001-69;MICROEMPRESA;PR;Paranaguá;contato@pousadadasmeninas.com.br
POUSADA DA TORRE;00.285.345/0001-39;EMPRESA DE PEQUENO PORTE;BA;Cairu;isabela@pousadadatorre.com.br
ALDEBARAN POUSADA;00.286.248/0001-60;MICROEMPRESA;MG;Bocaina de Minas;ALDEBARAN@ALDEBARANPOUSADA.COM.BR
MONTE PASCOAL PRAIA HOTEL;00.291.852/0001-85;EMPRESA DE PEQUENO PORTE;BA;Porto Seguro;RESERVA@hotelMONTEPASCOAL.COM.BR
HOTEL FRONTENAC;00.293.751/0001-43;DEMAIS;SP;Campos do Jordão;financeiro@frontenac.com.br
OCEANO PRAIA HOTEL ;00.296.642/0001-80;DEMAIS;BA;Porto Seguro;reservas@oceanopraia.com.br
POUSADA DAMEMEIA;00.297.271/0001-50;MICROEMPRESA;ES;Anchieta;fabiana.iriri31@gmail.com
HOTEL PALMAS EXECUTIVO;00.301.517/0001-10;MICROEMPRESA;SC;Balneário Camboriú;financeiro@palmasexecutivo.com.br
Chales Portal do Sol;00.305.294/0001-60;MICROEMPRESA;SP;Ubatuba;cportaldosol@hotmail.com
Hotel e Restaurante Salto Caxias;00.307.414/0001-68;MICROEMPRESA;PR;Boa Vista da Aparecida;hotelcaxias@hotmail.com
HOTEL  POUSADA VIKING;00.308.244/0001-36;MICROEMPRESA;PB;Conde;info@hotelviking.com.br
RESTAURANTE DA MONICA;00.309.002/0001-67;MICROEMPRESA;PE;Ipojuca;monicamaracaipe@gmail.com
POUSADA RECANTO DO MAR;00.310.483/0001-20;MICROEMPRESA;CE;Sobral;prmsobral@gmail.com
HOTEL MATO GROSSO;00.311.175/0001-10;MICROEMPRESA;MT;Guiratinga;hotelmatogrossogga@hotmail.com
Pousada TOP;00.311.433/0001-68;EMPRESA DE PEQUENO PORTE;SP;Mairiporã;bemvindo@pousadatop.com.br
POUSADA POR DO SOL;00.313.271/0001-05;MICROEMPRESA;SE;Aracaju;laercioblx@hotmail.com
CABANA JARDIM DE FLORES;00.315.446/0003-77;EMPRESA DE PEQUENO PORTE;RS;Gramado;cb.jardimdeflores@hotmail.com
ZERMATT HOTEL;00.315.446/0004-58;EMPRESA DE PEQUENO PORTE;RS;Gramado;reservas@zermatthotel.com.br
HOTEL 21;00.317.168/0001-25;MICROEMPRESA;PR;Fazenda Rio Grande;hotel.21@hotmail.com
Portal da Cor;00.318.825/0001-59;EMPRESA DE PEQUENO PORTE;SP;Ubatuba;sergiokuratomi@gmail.com
SAINT PAUL PLAZA HOTEL;00.319.295/0001-63;DEMAIS;SP;São José do Rio Preto;ggeral.spa@atlanticahotels.com.br
POUSADA DOS COQUEIROS;00.319.860/0001-92;MICROEMPRESA;PE;Ipojuca;reserva@pousadadoscoqueiros.com.br
NAU;00.320.017/0001-26;EMPRESA DE PEQUENO PORTE;ES;Cariacica;cadastro@lmneffa.com.br
NAU CATERING & SUPPLY;00.320.017/0006-30;EMPRESA DE PEQUENO PORTE;RJ;Macaé;nau@lmneffa.com.br
L. M. NEFFA EXPORTADORA E IMPORTADORA EIRELI;00.320.017/0007-11;EMPRESA DE PEQUENO PORTE;RN;Guamaré;cadastro@lmneffa.com.br
L. M. NEFFA COMERCIAL EXPORTADORA E IMPORTADORA EIRELI;00.320.017/0008-00;EMPRESA DE PEQUENO PORTE;RN;Alto do Rodrigues;cadastro@lmneffa.com.br
L. M. NEFFA COMERCIAL EXPORTADORA E IMPORTADORA EIRELI ;00.320.017/0009-83;EMPRESA DE PEQUENO PORTE;RN;Mossoró;cadastro@lmneffa.com.br
PORTO JOFRE PANTANAL;00.320.176/0001-20;MICROEMPRESA;MT;Poconé;pjofre@terra.com.br
ATLANTICO HOTEL;00.321.240/0005-11;DEMAIS;DF;Brasília;martadiaz4@gmail.com
POUSADA TROPICAL;00.321.712/0001-02;MICROEMPRESA;RJ;Paraty;TROPICAL@PARATYTROPICAL.COM.BR
TARUMÃ POUSADA;00.323.185/0001-75;EMPRESA DE PEQUENO PORTE;BA;Mucuri;reservas@pousadataruma.com.br
POUSADA REMANSO DO MAR LTDA - ME;00.329.759/0001-12;MICROEMPRESA;SP;Ubatuba;contato@pousadaremansodomar.com.br
HOTEL BEIRA MAR ITAPEMA LTDA - EPP;00.330.863/0001-27;EMPRESA DE PEQUENO PORTE;SC;Itapema;hotel@beiramaritapema.com.br
ARISTUS HOTEL;00.333.211/0001-46;EMPRESA DE PEQUENO PORTE;DF;Brasília;ARISTUS@ARISTUSHOTEL.COM.BR
POUSADA FLOR;00.337.210/0001-70;MICROEMPRESA;BA;Porto Seguro;danielribeiro-18@hotmail.com
HOTEL CASTELO;00.337.760/0001-99;MICROEMPRESA;RS;Cidreira;contato@hotelcastelo.com.br
SUMMERVILLE BEACH RESORT;00.338.915/0002-92;DEMAIS;PE;Ipojuca;reservas@ponteshoteis.com.br
HOTEL ATLANTE PLAZA;00.338.915/0006-16;DEMAIS;PE;Recife;recepcao@atlanteplaza.com.br
MAR HOTEL RECIFE;00.338.915/0007-05;DEMAIS;PE;Recife;andreia.misael@marhotel.com.br
HOTEL MEAIPE;00.339.291/0009-02;DEMAIS;ES;Guarapari;contato@hotelmeaipe.com.br
POUSADA RODRIGUES;00.340.309/0001-20;MICROEMPRESA;AL;Maceió;edicontabeis@hotmail.com
POUSADA LAGOA PEQUENA;00.344.129/0001-17;MICROEMPRESA;BA;Prado;pousada@pousadalagoapequena.com.br
PRIS Hotel;00.345.599/0001-03;MICROEMPRESA;SP;São Sebastião;contato@prishotel.com.br
HOTEL TERRA BRASIL;00.349.127/0001-10;MICROEMPRESA;BA;Porto Seguro;recepcao01@hotelterrabrasil.com.br
POUSADA MORADA DO PEIXE;00.352.493/0001-29;MICROEMPRESA;MS;Corumbá;pousadamoradadopeixe@gmail.com
TINHARE POUSADA;00.355.157/0001-30;MICROEMPRESA;BA;Cairu;pousadatinhare40@gmail.com
APARTAMENTOS COQUEIRO;00.356.131/0001-06;MICROEMPRESA;SP;Ilha Comprida;jandiracoqueiro@r7.com
POUSADA DA MAGA;00.357.125/0001-73;MICROEMPRESA;PE;Fernando de Noronha;magafilhos21@hotmail.com
LISBOA HOTEL E RESTAURANTE;00.358.143/0001-70;MICROEMPRESA;MT;Alta Floresta;reservas.hotellisboa@gmail.com
HOTEL DO LARGO;00.359.712/0001-00;MICROEMPRESA;PR;Curitiba;carla@motelcelebrity.com.br
POUSADA DO VÉIO;00.361.002/0001-06;MICROEMPRESA;SC;Garopaba;pousadadoveio@gmail.com
HOTEL 1 OPCAO;00.361.359/0001-94;MICROEMPRESA;GO;Sanclerlândia;escritorio@contabilidadearruda.com
HOTEL STELLA SOLARIS;00.365.923/0001-47;MICROEMPRESA;PR;Foz do Iguaçu;hotelssfoz@hotmail.com
ARACOARA HOTEL                                              ;00.366.518/0001-43;DEMAIS;DF;Brasília;comercial@aracoarahotel.com.br
MAGNU´S POUSADA;00.368.328/0001-65;MICROEMPRESA;RJ;Paraty;magnuspousada@magnuspousada.com.br
POUSADA CASA DO CATAVENTO;00.368.560/0001-01;MICROEMPRESA;RJ;Armação dos Búzios;RESERVAS@CASADOCATAVENTO.COM.BR
LUAU DE MARICA;00.370.280/0001-20;MICROEMPRESA;RJ;Maricá;pousada@luaudemarica.com.br
POUSADA DO CONDE;00.372.395/0001-53;MICROEMPRESA;SP;Campos do Jordão;ADM@POUSADADOCONDE.COM.BR
Bianca Praia Hotel;00.375.183/0001-20;MICROEMPRESA;PE;Recife;administrativo@biancapraiahotel.com.br
AMAZÔNIA GOLF RESORT;00.380.153/0001-01;DEMAIS;AM;Rio Preto da Eva;MARIOGUERREIRO@MAVEL.COM.BR
PANORÂMICA POUSADA;00.392.904/0001-00;MICROEMPRESA;CE;Fortaleza;panoramicapousada@gmail.com
POUSADA MONJOPE;00.397.619/0001-81;MICROEMPRESA;PE;Igarassu;contato@pousadamonjope.com.br
POUSADA UMA JANELA PARA O SOL;00.400.533/0001-60;MICROEMPRESA;BA;Morro de São Paulo;sigma@neth.com.br
POUSADA COQUEIRO BEACH;00.404.642/0001-56;DEMAIS;PI;Luís Correia;reservas@pousadacoqueirobeach.com.br
APART HOTEL VELEIROS;00.406.345/0001-40;MICROEMPRESA;BA;Santa Cruz Cabrália;reservas@aparthotelveleiros.com
Pousada Ilha Do Desejo;00.413.220/0001-47;MICROEMPRESA;BA;Una;pousadailhadodesejo@hotmail.com
POUSADA PARAJU;00.413.293/0001-39;MICROEMPRESA;RJ;Armação dos Búzios;pousadaparaju@pousadaparaju.com.br
POUSADA COLIBRI;00.432.210/0001-59;MICROEMPRESA;BA;Morro de São Paulo;Info@pousada-colibri.com
HOTEL SAO JUDAS TADEU;00.432.544/0001-22;MICROEMPRESA;SP;Aparecida;orgsaopaulo@uol.com.br
POUSADA RECIFE PRAIA;00.435.662/0001-94;MICROEMPRESA;PE;Recife;hoteluzi@gmail.com
ORIENTE HOTEL;00.441.000/0001-27;MICROEMPRESA;MT;Campo Novo do Parecis;orientehotel@hotmail.com
POUSADA DA DIVA;00.441.470/0001-90;MICROEMPRESA;SP;Iporanga;contato@pousadadiva.com.br
DON JUAN HOTEL;00.443.056/0001-10;MICROEMPRESA;BA;Salvador;hoteldonjuanssa@hotmail.com
POUSADA SÍTIO PARAISO EIRELI;00.450.711/0001-68;MICROEMPRESA;BA;Itacaré;POUSADA@SITIOPARAISO.TUR.BR
IMPERIAL HOTEL;00.451.737/0001-20;MICROEMPRESA;MA;Pio XII;ccbimperialhotel@gmail.com
POUSADA NOSSA SENHORA DA GUIA;00.461.234/0001-36;MICROEMPRESA;SP;Cachoeira Paulista;pousadaguia@yahoo.com.br
AERO PLAZA HOTEL LTDA ;00.462.926/0001-07;MICROEMPRESA;SP;São Paulo;aeroplaza@aeroplaza.com.br
POUSADA RECANTO DO SOL ;00.464.665/0001-56;MICROEMPRESA;SP;Olímpia;recantodosololimpia@hotmail.com
CARIBEAN VILLAGE HOTEL ;00.466.644/0001-70;MICROEMPRESA;SP;São Paulo;junioralphafarias@hotmail.com
HOTEL PHENICIA;00.469.171/0001-64;DEMAIS;DF;Brasília;PHENICIA@HOTEISBITTAR.COM.BR
GRAND BITTAR HOTEL;00.469.171/0003-26;DEMAIS;DF;Brasília;grand@hoteisbittar.com.br
AMERICA BITTAR HOTEL;00.469.171/0004-07;DEMAIS;DF;Brasília;roberto@hoteisbittar.com.br
HOTEL SOL E MAR;00.469.322/0001-84;MICROEMPRESA;ES;Vitória;hotelsolemar-es@hotmail.com
HOTEL SABRINA LTDA EPP;00.473.275/0001-42;EMPRESA DE PEQUENO PORTE;SC;Joinville;sabrina@hotelsabrina.com.br
HOTEL POUSADA CHALE DAS FLORES;00.478.357/0001-80;MICROEMPRESA;SP;Sertãozinho;CONTATO@HOTELPOUSADACHALEDASFLORES.COM.BR
REIS PALACE HOTEL;00.479.544/0001-88;MICROEMPRESA;PE;Petrolina;REISPALACEHOTEL@YAHOO.COM.BR
HOTEL HORIZONTE;00.480.456/0001-04;MICROEMPRESA;MT;Lucas do Rio Verde;hotelhorizonte_lrv@hotmail.com
SAN MARCO HOTEL;00.480.608/0001-60;DEMAIS;DF;Brasília;SANMARCO@SANMARCO.COM.BR
HOTEL CAMINHO DO MAR;00.481.828/0001-09;MICROEMPRESA;MG;João Monlevade;hotelcaminhodomar@yahoo.com.br
HANNA PALACE HOTEL ;00.488.191/0001-82;MICROEMPRESA;RJ;Barra do Piraí;CONTATO@HANNAPALACE.COM.BR
MAR HOTEL;00.491.834/0001-47;MICROEMPRESA;SC;Balneário Camboriú;MARHOTEL@TERRA.COM.BR
HOTEL ESCARPAS DO LAGO;00.492.126/0001-20;MICROEMPRESA;MG;Capitólio;escarpas@escarpas.tur.br
LANCHONETE E RESTAURANTE RODOVIARIO;00.494.433/0001-40;MICROEMPRESA;MT;Ribeirão Cascalheira;eloi-frigo@hotmail.com
POUSADA GARÇA MORENA;00.494.800/0001-06;MICROEMPRESA;AM;Parintins;sinatrabrasilia@yahoo.com.br
Pousada do Mano;00.499.733/0001-12;MICROEMPRESA;PE;Fernando de Noronha;pousada@pousadadomano.com.br
Hotel Alto da Boa Vista;00.504.231/0001-32;MICROEMPRESA;SP;Analândia;contato@hotelaltodaboavista.com.br
HOTEL ROMA;00.504.395/0001-60;MICROEMPRESA;MS;Campo Grande;hotelroma_campogrande@hotmail.com
MANARY PRAIA HOTEL;00.504.925/0001-70;EMPRESA DE PEQUENO PORTE;RN;Natal;reservas@manary.com.br
VILLAGE INDAIÁ;00.506.175/0001-75;MICROEMPRESA;BA;Ilhéus;VILLAGEINDAIA@UOL.COM.BR
PLANALTO DA JAGUARA FAZENDA DE LAZER;00.506.960/0001-28;MICROEMPRESA;MG;Matozinhos;CONTATO@PLANALTODAJAGUARA.COM.BR
ATALANTA HOTEL;00.511.437/0001-90;EMPRESA DE PEQUENO PORTE;AP;Macapá;gerente@atalantahotel.com.br
TORONTO TOWER RESIDENCE;00.511.799/0001-80;DEMAIS;MG;Belo Horizonte;FISCAL@ASSESCONT.COM.BR
POUSADA COLINA DOS VENTOS;00.512.196/0001-01;MICROEMPRESA;PE;Fernando de Noronha;reservas.colina@noronha.com.br
HOTEL E MEGA FORRO NOVO LAR;00.515.806/0001-12;MICROEMPRESA;BA;Luís Eduardo Magalhães;d_bahia18@hotmail.com
ANNAMAR HOTEL;00.518.420/0001-64;EMPRESA DE PEQUENO PORTE;PB;João Pessoa;annamarhotel@openline.com.br
TERRACOTA HOTEL;00.531.872/0001-86;EMPRESA DE PEQUENO PORTE;RJ;Petrópolis;terracota@terracotahotel.com.br
CHAPADINHENSE HOTEL;00.533.276/0001-35;MICROEMPRESA;MA;Chapadinha;chapadinhensehotel@hotmail.com
POUSADA PASSARGADA;00.533.333/0001-86;EMPRESA DE PEQUENO PORTE;BA;Cairu;amenezes8@hotmail.com
EXCELSIOR IPIRANGA;00.537.732/0001-15;DEMAIS;SP;São Paulo;gerencia@hotelexcelsiorsp.com.br
CAMBIRELA HOTEL;00.543.185/0001-80;DEMAIS;SC;Florianópolis;comercial@cambirela.com.br
POUSADA DA TERRA;00.544.355/0001-41;MICROEMPRESA;RN;Natal;adm@pousadadaterra.com.br
CLAUDIO HOTEL;00.553.134/0001-30;MICROEMPRESA;GO;Britânia;joao-b30@hotmail.com
ALVIMAR HOTEL                                               ;00.559.526/0001-06;EMPRESA DE PEQUENO PORTE;DF;Brasília;ALVIMARHOTEL@GLOBO.COM
POUSADA CAUCA;00.561.140/0001-39;MICROEMPRESA;RJ;Angra dos Reis;teperinoegoncalves@hotmail.com
HOTEL BAMBINA;00.562.169/0001-35;DEMAIS;RJ;Rio de Janeiro;admbambinahotel@hotmail.com
HOTEL PANACHE;00.564.094/0001-21;MICROEMPRESA;RR;Boa Vista;hotelpanache@hotmail.com
HOTEL GIPRITA;00.568.033/0001-32;EMPRESA DE PEQUENO PORTE;SP;Ubatuba;giprita@giprita.com.br
POUSADA TABAPITANGA;00.569.739/0001-19;DEMAIS;PE;Ipojuca;FINANCEIRO@TABAPITANGA.COM.BR
HOTEL POUSADA CANTO DAS AGUAS;00.570.551/0001-90;EMPRESA DE PEQUENO PORTE;BA;Lençóis;CANTODASAGUAS@LENCOIS.COM.BR
POUSADA DA VILA;00.571.079/0001-00;DEMAIS;BA;Velha Boipeba;cryscon@neth.com.br
MARIS TURISMO E ECOLOGIA;00.571.093/0001-04;EMPRESA DE PEQUENO PORTE;BA;Maraú;financeiro@lagoadocassange.com.br
HOTEL D'LAGUS ;00.574.712/0001-14;MICROEMPRESA;MA;São Luís;locarwtour@hotmail.com
HOTEL FAZENDA MENINO DA PORTEIRA;00.576.624/0001-51;MICROEMPRESA;MG;Ouro Fino;lgazella@meninodaporteira.com.br
Real Comandatuba Hotel;00.591.268/0001-45;MICROEMPRESA;BA;Una;realcomandatuba@hotmail.com
NEW POINT;00.591.391/0001-66;MICROEMPRESA;SP;São Paulo;newpointhotel@outlook.com
POUSADA PANTANEIRA;00.594.004/0001-45;MICROEMPRESA;MT;Poconé;hotelchurrascariapantaneira@gmail.com
J P P;00.594.519/0001-45;MICROEMPRESA;SP;Campos do Jordão;solucoes@escritoriounia.com.br
POUSADA CAJUTUBA;00.603.054/0001-41;MICROEMPRESA;PA;Belterra;POUSADACAJUTUBA@HOTMAIL.COM
POUSADA AGUA VIVA;00.609.841/0001-09;DEMAIS;PE;Fernando de Noronha;nvagua.viva@gmail.com
POUSADA ECOLOGICA DE ANDARAI;00.611.127/0001-47;MICROEMPRESA;BA;Andaraí;GLAUBERCONTABIL@HOTMAIL.COM
POUSADA TERRA DO SOL;00.611.986/0001-36;MICROEMPRESA;SE;Aracaju;adm@terradosol.com.br
