Nome Fantasia;CNPJ;Porte;UF;Localidade;Email Comercial
DRAGÃO DO MAR;02.487.307/0001-94;MICROEMPRESA;CE;Fortaleza;financeiro@ageturismo.com.br
PLANET VAN LOCADORA DE VEICULOS LTDA - EPP;02.528.700/0001-89;EMPRESA DE PEQUENO PORTE;SP;São Paulo;contato@planetvan.com.br
STUDIOMS;02.553.262/0001-09;MICROEMPRESA;CE;Fortaleza;studioms@uol.com.br
VIP SERVICE CLUBE LOCADORA;02.605.452/0001-22;DEMAIS;DF;Brasília;centraldelicitacao@voetur.com.br
expresso industrial ltda;02.607.242/0001-73;MICROEMPRESA;MG;Contagem;expressoindustrial@hotmail.com
VIACAO ICAPUI;02.648.366/0001-05;MICROEMPRESA;CE;Icapuí;viacaoicapui@outlook.com
KATANIKATUR;02.736.016/0001-92;EMPRESA DE PEQUENO PORTE;BA;Capim Grosso;ktur10@hotmail.com
CLERY ' TUR TRANSPORTE & TURISMO;02.747.738/0001-42;MICROEMPRESA;BA;Entre Rios;cleryturtransportes@hotmail.com
TRANSTUR;02.761.095/0001-91;MICROEMPRESA;RN;Areia Branca;josehiltonoliveira@hotmail.com.br
TRANSLIFE;02.825.262/0001-10;MICROEMPRESA;PR;Guarapuava;brasilconte@uol.com.br
CINCOS;02.852.825/0001-60;MICROEMPRESA;MS;Bonito;nvcoutinho@hotmail.com
LOCATOUR;02.865.613/0001-17;MICROEMPRESA;ES;Anchieta;esconaud@esconaud.com.br
Edy Guinchos e Locadora de Veículos ;02.870.326/0001-03;MICROEMPRESA;CE;Iguatu;EDYGUINCHOSELOC@HOTMAIL.COM
MAIA TRANSPORTES ESPECIAIS;02.906.997/0001-79;MICROEMPRESA;PR;Curitiba;maia@maialocacaodevans.com.br
MAX'S;02.933.694/0001-45;MICROEMPRESA;MS;Jardim;maxsveiculosjardim@hotmail.com
TRANSPAS;02.943.778/0001-60;MICROEMPRESA;RS;Montenegro;transpas8@gmail.com
kami transportes ltda me / KAMI;03.164.091/0001-99;MICROEMPRESA;RJ;Macaé;kami@kamitransportes.com.br
ROSEVAN LOCAÇÃO DE VEÍCULOS LTDA - ME;03.164.468/0001-00;MICROEMPRESA;MG;Belo Horizonte;cl.bh@terra.com.br
QFLUX AUTOMACAO E SISTEMAS;03.219.200/0001-28;MICROEMPRESA;PR;Curitiba;contato@avventure4x4.com.br
ANDE TRANSPORTE;03.222.025/0003-90;DEMAIS;RJ;Rio de Janeiro;financeiro@andetransporte.com.br
TRANSVAN;03.235.675/0001-08;MICROEMPRESA;MG;Viçosa;spdemiranda@gmail.com
MICHELON;03.250.640/0001-48;MICROEMPRESA;DF;Brasília;denismichelong7@gmail.com
AUTO MAX LOCADORA DE VEICULOS E TURISMO;03.272.451/0001-76;MICROEMPRESA;PE;Ipojuca;edvaldo2009@live.com
PANDORA TRANSPORTES;03.319.453/0001-73;MICROEMPRESA;SP;Santo André;pandora@pandoratransportes.com
LOCAVEL LOCADORA DE VEICULOS;03.367.215/0001-33;MICROEMPRESA;MS;Nova Andradina;locavel@gmail.com
MAPE TRANSPORTES LTDA;03.431.716/0001-31;DEMAIS;CE;Fortaleza;contato@gertaxi.com.br
LOCAVE;03.447.439/0001-55;MICROEMPRESA;PB;João Pessoa;locave.ltda@hotmail.com
Searlini - STL;03.480.048/0001-32;MICROEMPRESA;SP;Itu;prcesarsearlini@gmail.com
LOACRE;03.520.514/0001-66;EMPRESA DE PEQUENO PORTE;AC;Epitaciolândia;loacre2016@gmail.com
VIACAO DO VALE TRANSPORTES E TURISMO;03.524.516/0001-23;MICROEMPRESA;SP;Pindamonhangaba;vsltransporte@gmail.com
GUINCHO CHAVES;03.539.790/0001-76;MICROEMPRESA;BA;Correntina;GUINCHOS.CHAVES@HOTMAIL.COM
LOCTUR;03.551.401/0001-28;DEMAIS;SE;Aracaju;localine-turismo@hotmail.com
ALVESTUR TURISMO;03.563.375/0001-58;EMPRESA DE PEQUENO PORTE;GO;Aparecida de Goiânia;alves_tur@hotmail.com
EVIDENCE RENT A CAR;03.569.705/0001-12;EMPRESA DE PEQUENO PORTE;BA;Porto Seguro;hertz@grupohills.com.br
VIP;03.571.820/0001-21;EMPRESA DE PEQUENO PORTE;SP;Cosmópolis;vip.express@hotmail.com
WMR LOCADORA;03.574.409/0001-00;MICROEMPRESA;PB;João Pessoa;gerenteyespb@gmail.com
DEPAULAEXECUTIVE SERVICE;03.601.549/0001-20;MICROEMPRESA;DF;Brasília;dpaulaexecutivo@gmail.com
colmeia expresso transportes e locadora de veiculos ltda;03.646.522/0001-53;MICROEMPRESA;SP;São Paulo;contato@colmeiaexpresso.com.br
IRINEU LOCADORA;03.663.542/0001-32;MICROEMPRESA;MG;Itabira;irineulocadora@yahoo.com.br
QUAD NATUREZA TOUR;03.673.718/0001-37;EMPRESA DE PEQUENO PORTE;RN;Maxaranguape;quadnatureza@outlook.com
 Rubinexx Transportes ;03.715.223/0001-23;MICROEMPRESA;SP;São Paulo;contato@rubinexx.com
BARBOZA TUR TRANSPORTES;03.718.286/0001-33;MICROEMPRESA;PE;Moreno;chequemotos@hotmail.com
CALMONS LOCAÇÃO DE VANS;03.741.598/0001-68;MICROEMPRESA;ES;Vila Velha;calmons@calmons.com.br
Vip Van Auto Locadora ;03.816.594/0001-00;EMPRESA DE PEQUENO PORTE;ES;Vitória;vipvan@vipvan.com.br
BM TUR TRANSPORTES;03.835.558/0001-85;MICROEMPRESA;AL;Boca da Mata;bmturtransportes@gmail.com
ATLANTIC TUR TRANSPORTES;03.840.965/0001-80;MICROEMPRESA;RJ;Rio de Janeiro;sergioatlatictour@bol.com.br
PERSONAL VANS LOCAÇÃO DE VEICULOS LTDA - ME;03.854.026/0001-95;MICROEMPRESA;SP;Guarulhos;personalvans@ig.com.br
DELTA III;03.878.464/0001-93;EMPRESA DE PEQUENO PORTE;MS;Campo Grande;campogrande@aluguebrasil.com.br
THUNDER COMERCIAL LTDA;03.912.970/0001-51;MICROEMPRESA;RJ;Macaé;kami@kamitransportes.com.br
BECKER FRETAMENTO DE PASSAGEIROS;03.914.748/0001-98;MICROEMPRESA;SP;Piedade;beckerfretamento@gmail.com
LOCADORA PAVANI;03.927.325/0001-02;MICROEMPRESA;ES;Viana;financeiropavani@globomail.com
AMERICAN VANS;03.962.663/0001-85;EMPRESA DE PEQUENO PORTE;SP;Americana;contato@americanvans.com.br
ROMANISIO TRANSPORTE & TURISMO;03.966.242/0001-22;MICROEMPRESA;PR;São Sebastião da Amoreira;romanisio_transporte@hotmail.com
CITYCAR ALUGUEL DE VEICULOS;03.972.832/0001-68;DEMAIS;RS;Santa Cruz do Sul;financeiro@citycarveiculos.com.br
ALDICIANO AGUINALDO BAPTISTA EPP;04.016.765/0001-70;EMPRESA DE PEQUENO PORTE;SP;Araras;batistur@hotmail.com
COOPERLAFER;04.016.940/0001-20;DEMAIS;MG;Conselheiro Lafaiete;cooperlafer@yahoo.com.br
******;04.071.010/0001-79;MICROEMPRESA;DF;Brasília;directcar02@terra.com.br
MAGICAR AUTOMOTIVO;04.075.000/0001-01;MICROEMPRESA;SE;Aracaju;gerencia@portaldereservas.com.br
DSN LOCACOES;04.080.118/0001-28;EMPRESA DE PEQUENO PORTE;ES;Vitória;tiago.sa@rankingrentacar.com.br
SKS TRANSPORTES;04.146.911/0001-82;EMPRESA DE PEQUENO PORTE;SP;São Paulo;SKSTRANSP@HOTMAIL.COM
LOC EMPREENDIMENTOS;04.214.147/0001-35;DEMAIS;SE;São Cristóvão;recepcao.loc@hotmail.com
MAXTOUR VIAGENS E TURISMO;04.227.726/0001-12;EMPRESA DE PEQUENO PORTE;BA;Vitória da Conquista;maxtour@maxtour.com.br
ZENATUR TURISMO;04.285.694/0001-01;MICROEMPRESA;AM;Manaus;zenaturturismo@hotmail.com
BITTENCOURT TRANSPORTE ESCOLAR E TURISMO;04.300.691/0001-08;MICROEMPRESA;MS;Campo Grande;bittencourtransportes@hotmail.com
FUNERÁRIA SANTO ANTONIO;04.300.881/0001-17;MICROEMPRESA;RN;Açu;luisoliveira@grupovila.com.br
JSA TRANSPORTE E LOCACAO;04.314.978/0001-89;MICROEMPRESA;SP;Campinas;smass@terra.com.br
ALENCARINA TRANSPORTE E TURISMO;04.327.582/0001-76;MICROEMPRESA;CE;Fortaleza;cbessa1@hotmail.com
EURORENT LTDA;04.375.310/0001-41;EMPRESA DE PEQUENO PORTE;RN;Natal;eurorentlocadoraltda@hotmail.com
SS LOCACAO E TURISMO;04.377.654/0001-90;MICROEMPRESA;PR;Cascavel;kaufm@terra.com.br
AGL RENT A CAR LOCACAO DE VEICULOS;04.448.021/0001-25;MICROEMPRESA;CE;Fortaleza;aglvans@msn.com
ALPHA LOCADORA;04.479.616/0001-48;MICROEMPRESA;BA;Ilhéus;alphalocadora@hotmail.com
TAS TRANSPORTES;04.501.632/0001-90;MICROEMPRESA;PR;Guarapuava;tastransportes3@hotmail.com
VILLAGE;04.515.963/0001-89;EMPRESA DE PEQUENO PORTE;DF;Brasília;rodrigo@villagefrota.com.br
L & L LOCADORA DE VEICULOS;04.540.771/0001-22;DEMAIS;SE;Aracaju;lllocadora@bol.com.br
LOCADORA HERMON;04.569.904/0001-93;MICROEMPRESA;MG;Três Marias;financeiro@locadorahermon.com.br
RIDE;04.570.219/0001-87;MICROEMPRESA;PB;Cabedelo;riderentacar@hotmail.com
LOCADORA SAO GABRIEL;04.589.118/0001-58;MICROEMPRESA;ES;São Gabriel da Palha;Locadorasaogabriel@outlook.com
CG TURISMO;04.603.903/0001-18;DEMAIS;BA;Feira de Santana;BECKER-SETORFISCAL@BOL.COM.BR
TURISMO CLASSE A;04.649.321/0001-72;MICROEMPRESA;RJ;Rio de Janeiro;contato@turismoclassea.com.br
CARI TRANSPORTES;04.698.286/0001-81;MICROEMPRESA;PR;Toledo;CARITRANSPORTES@HOTMAIL.COM
IDEAL  LOCAÇÕES;04.750.478/0001-90;DEMAIS;AL;Maceió;ideal.locacoes@hotmail.com
RENOTUR;04.763.318/0001-85;MICROEMPRESA;MG;Padre Paraíso;ESTECO@UUOL.COM.BR
locadora Dias;04.815.832/0001-17;MICROEMPRESA;PE;Fernando de Noronha;amanda_fnoronha15@live.com
LOCAVIX ALUGUEL DE VEICULOS;04.906.659/0001-62;EMPRESA DE PEQUENO PORTE;ES;Vitória;atendimento@locavix.com.br
DESTINO TRANSPORTE;04.915.249/0001-88;MICROEMPRESA;AL;Maceió;eliastenoriofilho@hotmail.com
KMTUR&LOC;04.922.277/0001-22;MICROEMPRESA;MG;Jequitinhonha;KMTUR@YAHOO.COM.BR
ACESSO RENT CAR;04.926.322/0001-17;MICROEMPRESA;RN;Natal;acessorentacar@hotmail.com
ABS -SERVICOS GERAIS E REPRESENTAES;04.953.254/0001-85;MICROEMPRESA;BA;Ituberá;DENEBOMFIM@GMAIL.COM
AGUIA LOCADORA;04.976.469/0001-11;MICROEMPRESA;GO;Goiânia;aguia.locadora@hotmail.com
IRMAOS KUHN;05.015.542/0001-51;MICROEMPRESA;RS;Triunfo;irmaoskuhntransportes@gmail.com
Sul lemes turismo;05.017.691/0001-50;DEMAIS;RS;Canoas;renatolemesturp3@hotmail.com
ROLETTE TURISMO;05.029.842/0001-90;MICROEMPRESA;MG;Uberlândia;rolette.transportes@hotmail.com
VIP PRAIA HOTEL;05.055.364/0001-92;MICROEMPRESA;RN;Natal;comercial@vippraiahotel.com.br
LOCTER;05.063.609/0001-23;EMPRESA DE PEQUENO PORTE;CE;Fortaleza;cesarbraga22@hotmail.com
LOG TOTAL;05.080.891/0001-57;MICROEMPRESA;MG;Brumadinho;RICARDOMAVILELA@GMAIL.COM
Transportes Transhartwig Ltda;05.088.377/0001-68;MICROEMPRESA;RS;Porto Alegre;hartwigltda@terra.com.br
TAC RENT  A CAR;05.097.586/0001-78;EMPRESA DE PEQUENO PORTE;RN;Natal;tactransportesltda@hotmail.com
*****************************************;05.114.481/0001-80;DEMAIS;CE;Fortaleza;comercial@primeplus.com.br
ACCIARI TURISMO;05.211.020/0001-25;MICROEMPRESA;PR;Curitiba;nelson.alves1973@uol.com.br
TRANSPORTE VIP RIO;05.218.695/0001-04;MICROEMPRESA;RJ;Rio de Janeiro;contato@transporteviprio.com.br
AMERICA TRAVEL LOCADORA EXECUTIVA EIRELI - EPP;05.240.885/0001-10;EMPRESA DE PEQUENO PORTE;SP;São Paulo;americatravel22@gmail.com
ERRS LOCADORA;05.250.382/0001-25;MICROEMPRESA;BA;Ilhéus;errslocadora@hotmail.com
FATT RENT A CAR;05.264.777/0001-87;MICROEMPRESA;SP;Bauru;escarcoiris@terra.com.br
TRANSPORTES JONIR;05.270.486/0001-00;DEMAIS;SC;Arroio Trinta;transjonir.viagens@hotmail.com
GALO TRANSPORTE SEMPRE PENSANDO EM VOCE;05.279.616/0001-67;MICROEMPRESA;SP;Mairinque;galotransporte@yahoo.com.br
Autovan Locadora de Veiculos LTDA;05.289.534/0001-01;MICROEMPRESA;SP;Piracicaba;CONTATOAUTOVAN@YAHOO.COM.BR
COOPERVAN;05.292.426/0001-80;DEMAIS;MG;Lavras;coopervanlavras@hotmail.com
F5 LOCADORA;05.342.075/0001-74;MICROEMPRESA;DF;Brasília;atendimento@f5autolocadora.com.br
EDITUR;05.354.545/0001-10;MICROEMPRESA;AL;União dos Palmares;jenestur@hotmail.com
DAC LOCADORA DE VEÍCULOS;05.354.687/0001-87;EMPRESA DE PEQUENO PORTE;MG;Belo Horizonte;locacao@daclocadora.com.br
DEJATUR LOCADORA;05.365.148/0001-43;MICROEMPRESA;SP;Jaú;dejaturlocadora@bol.com.br
LISTHA TUR;05.373.061/0001-18;MICROEMPRESA;PI;Picos;linaldoadelino2011@hotmail.com
EXECUTIVA RENT A CAR;05.381.879/0001-82;MICROEMPRESA;CE;Fortaleza;executivacas@gmail.com
LULA TUR;05.433.705/0001-16;MICROEMPRESA;RN; - ;lula.turvans@gmail.com
S.H.V . FRETAMENTO E LOCADORA;05.454.746/0001-99;MICROEMPRESA;SP;Sorocaba;adalton.shv@gmail.com
UNNION MULTIVENDAS;05.457.629/0001-89;EMPRESA DE PEQUENO PORTE;MT;Cuiabá;contato@prpborges.com.br
SERRVICES E RENT NORTE FLUMINENSE LTDA EPP;05.491.379/0003-65;EMPRESA DE PEQUENO PORTE;ES;Vila Velha;RUBENS@RSCONTABILONLINE.COM.BR
LIDER;05.498.237/0001-68;MICROEMPRESA;BA;Ilhéus;reservas@lideraluguel.com.br
EVA TUR TRANSPORTES;05.511.956/0001-71;MICROEMPRESA;MT;Várzea Grande;evaturme@terra.com.br
CASA DO TURISTA DO XINGO;05.530.724/0001-60;DEMAIS;SE;Canindé de São Francisco;frjsantos@outlook.com
TRANSCOSTA E TURISMO;05.553.170/0001-17;MICROEMPRESA;MA;Formosa da Serra Negra;CLAROCONTABIL@YAHOO.COM.BR
MARENCANTO;05.580.596/0001-60;MICROEMPRESA;MA;São Luís;marencanto@marencanto.com.br
SUED'S;05.581.617/0001-61;MICROEMPRESA;BA;Porto Seguro;bruno@suedsplaza.com.br
CVAL;05.585.327/0001-96;MICROEMPRESA;GO;Goiânia;eribeiro@avis.com.br
P B SERVIÇOS;05.607.850/0001-76;EMPRESA DE PEQUENO PORTE;AL;Maceió;PBSERVICOS@HOTMAIL.COM
EXPOTUR;05.636.783/0001-18;MICROEMPRESA;SP;São Paulo;alessandra.banhos@gmail.com
DA SERRA;05.648.960/0001-86;MICROEMPRESA;PE;Caruaru;danielbarbosa@daserra.com
SUPREMA LOCADORA E TURISMO;05.666.393/0001-90;EMPRESA DE PEQUENO PORTE;DF;Brasília;suprematur@suprematur.com.br
CONDOR VIP CAR;05.687.616/0001-04;MICROEMPRESA;RJ;Rio de Janeiro;condorvipcar@condovipcar.com.br
ISA VANS LOCADORA DE VEICULOS LTDA - EPP;05.728.303/0001-49;EMPRESA DE PEQUENO PORTE;SP;São Caetano do Sul;isavans@terra.com.br
TRANSNIEL;05.729.225/0001-05;MICROEMPRESA;SP;Votorantim;transniel@yahoo.com.br
JMK LOCADORA DE VEICULOS;05.734.887/0001-65;MICROEMPRESA;GO;Catalão;marcelo.marques@sistemalocaliza.com
PAXVIP TRANSPORTE EXECUTIVO;05.756.500/0001-71;EMPRESA DE PEQUENO PORTE;SP;São Paulo;auro.wandermuren@paxvip.com
MAXI TOP BRASIL LOCAÇÃO DE VEÍCULOS LTDA ;05.813.314/0001-27;MICROEMPRESA;SP;Ourinhos;cadinho.vo@gmail.com
CJM LOCADORA DE VEICULOS LTDA ;05.813.317/0001-60;MICROEMPRESA;SP;Indaiatuba;abertura1boffo@terra.com.br
MGP LOCADORA;05.818.861/0001-03;DEMAIS;SP;Osasco;adriana@mgplocadora.com.br
MARIANA TURISMO TRANSPORTE E LOCAÇÃO;05.828.544/0001-60;MICROEMPRESA;RN;Natal;almir@marianaturismo.com.br
CAS LOCADORA EXECUTIVA;05.852.786/0001-99;MICROEMPRESA;SP;Sorocaba;JHEECIBAZAR@HOTMAIL.COM
SOROFRET FRETAMENTOS E TURISMO;05.865.098/0001-63;MICROEMPRESA;SP;Sorocaba;matheus.guima@hotmail.com
EXPRESSO TOCANTINS;05.877.552/0001-04;DEMAIS;SP;Ribeirão Preto;trafego.sao@passaredo.com.br
LOCAR MASTER RENT A CAR;05.904.440/0001-97;MICROEMPRESA;PE;Olinda;henrique_pst@yahoo.com.br
EUROPCAR;05.932.926/0001-39;EMPRESA DE PEQUENO PORTE;RR;Boa Vista;bvb@europcar.com.br
RAITUR TRANSPORTES;05.935.343/0001-61;MICROEMPRESA;DF;Brasília;raitur.bsb@gmail.com
XEG LOG;05.940.255/0001-58;MICROEMPRESA;RJ;Saquarema;xeglog@yahoo.com.br
SANTANA GAS;05.944.564/0001-04;MICROEMPRESA;RN;Santana do Matos;ebcj.cd@ig.com.br
RIO MAR TURISMO;05.953.608/0001-54;MICROEMPRESA;RJ;Rio de Janeiro;riomar@turismoriomar.com.br
Garcia;05.972.225/0001-23;MICROEMPRESA;MG;Belo Horizonte;garciatour@superig.com.br
Gênesis Locação de Vans ;05.997.609/0001-09;MICROEMPRESA;SP;São Paulo;genesislocacaodevans@yahoo.com.br
VIXLINE LOCADORA;06.031.917/0001-30;MICROEMPRESA;ES;Serra;vixline@hotmail.com
BELLA;06.035.647/0001-35;MICROEMPRESA;SP;Sorocaba;contato@bellatransportes.com.br
Viação Triunfo Eireli;06.047.605/0001-14;MICROEMPRESA;MG;Santa Luzia;viacaotriunfo@gmail.com
TRANS RDA;06.122.031/0001-00;MICROEMPRESA;SP;Mairinque;mtlassessoriacontabil@gmail.com
Shirley batista de araujo;06.132.366/0001-09;MICROEMPRESA;SP;Santa Bárbara D'Oeste;shirleyba@hotmail.com
LF SOUZA LOCADORA LTDA - ME;06.181.730/0001-12;MICROEMPRESA;RJ;Volta Redonda;fervan_vr@hotmail.com
SOSEPA;06.184.885/0001-02;EMPRESA DE PEQUENO PORTE;MG;Ouro Branco;SOSEPA@VIAREAL.COM.BR
JARDIM TUR;06.185.266/0001-32;EMPRESA DE PEQUENO PORTE;PR;Faxinal;jardimtur@hotmail.com
Jipe Tour;06.192.716/0001-14;MICROEMPRESA;RJ;Itatiaia;joycenunes28@yahoo.com.br
SERRA TUR;06.218.169/0001-07;EMPRESA DE PEQUENO PORTE;MG;Além Paraíba;serraturmg@gmail.com
ESLEI AUTO PECAS;06.241.779/0001-13;MICROEMPRESA;GO;Minaçu;eslei@hotmail.com
FACILITA RENT A CAR;06.259.523/0001-33;MICROEMPRESA;CE;Fortaleza;facilitalocacao@gmail.com
FORTT LOCAÇÃO DE BENS MOVEIS LTDA;06.274.904/0001-91;EMPRESA DE PEQUENO PORTE;RS;Montenegro;motrix@motrixts.com.br
VIACAO HCL;06.283.595/0001-16;MICROEMPRESA;PR;Arapoti;viacaohcl@live.com
3A LOCADORA;06.291.731/0001-10;EMPRESA DE PEQUENO PORTE;RN;Natal;administrativo@3alocadora.com.br
PARK LIMP LIMPEZA URBANA;06.320.125/0001-85;MICROEMPRESA;SP;Franco da Rocha;RNBILDA@RNBILDA.COM.BR
ALFA RENT A CAR;06.334.351/0001-15;MICROEMPRESA;MT;Cuiabá;ALFA0300@GMAIL.COM
TRANS AQUINO;06.334.879/0001-94;MICROEMPRESA;GO;Barro Alto;TRANSAQUINOEDINIZ@BOL.COM.BR
GUIMA MOTORS;06.723.468/0001-90;DEMAIS;SE;Aracaju;financeiro@guimamotors.com.br
CINCO AMIGOS LOCADORA;06.777.645/0001-11;MICROEMPRESA;ES;Serra;cincoamigoslocadora@gmail.com
EGEL RENT A CAR;06.798.516/0001-00;DEMAIS;CE;Fortaleza;egel.empreendimentos@terra.com.br
SAO LUIZ TRANSPORTES;06.881.767/0001-53;MICROEMPRESA;CE;Cascavel;MAIRTONREIS@IG.COM.BR
SAFIRA;06.887.204/0001-72;MICROEMPRESA;BA;Camaçari;safira.turismo@gmail.com
ASSIS TOUR;06.893.049/0001-05;MICROEMPRESA;RJ;Rio de Janeiro;rosamarcia@globo.com
JV LOCADORA DE VEICULOS;06.906.871/0001-55;MICROEMPRESA;PR;Curitiba;contato@jvtur.com.br
