Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Natureza Jurídica;Tipo de Veículo;Veículos Aquáticos;Veículos Terrestre;Línguas;Quantidade de Veículos;Trimestre
CUNHA, QUEIROZ & GAROFALO LTDA;UNIDAS RENT A CAR;00.791.866/0001-68;DEMAIS;05/09/1995;Em Operação;Locadora de Veículos para Turistas;78110-376;MT;Várzea Grande;Centro-Norte;Governador João Ponce de Arruda 920;(Lot Centro);(65)3682-4062;unicgb1@terra.com.br;unicgb1@terra.com.br; - ;16/10/2018 13:18:07;16/10/2020 13:18:07;00.791.866/0001-68;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
NATURAL SERVICOS E EMPREENDIMENTOS EIRELI;NATURAL RENT A CAR;00.834.920/0001-05;MICROEMPRESA;26/09/1995;Em Operação;Locadora de Veículos para Turistas;41650-105;BA;Salvador;Piatã;Manoel Galiza;nº 38;(71)3232-2424;naturalcar@naturalcar.com.br;naturalcar@naturalcar.com.br;www.naturalcar.com.br;09/01/2020 15:34:23;09/01/2022 15:34:23;00.834.920/0001-05;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Terrestre; - ;Automóvel;Espanhol|Inglês;1;2020T01
RJG SERVICOS DE TRANSPORTE RODOVIARIO EIRELI;AGUIA TURISMO;00.860.573/0001-95;EMPRESA DE PEQUENO PORTE;17/10/1995;Em Operação;Locadora de Veículos para Turistas;58416-680;PB;Campina Grande;Santa Rosa;Dinamérica Correia;1230;(83)3335-2600;aguiaturismo@uol.com.br;aguiaturismo@uol.com.br; - ;15/01/2020 15:57:59;15/01/2022 15:57:59;00.860.573/0001-95;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
EDU ALBUQUERQUE RIBEIRO;*****************************************;00.874.402/0001-15;MICROEMPRESA;25/10/1995;Em Operação;Locadora de Veículos para Turistas;62400-000;CE;Camocim; - ;Sem Logradouro; - ;(88)3621-2163;ivoneidemuniz@hotmail.com;ivoneidemuniz@hotmail.com; - ;13/04/2018 15:12:06;13/04/2020 15:12:06;00.874.402/0001-15;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
INTERCITIES RENT A CAR LTDA;Intercities Rent a Car;00.886.412/0001-70;MICROEMPRESA;25/10/1995;Em Operação;Locadora de Veículos para Turistas;12600-190;SP;Lorena;Centro;Nossa Senhora da Piedade;sala 6;(12)3152-4688;CONCOBRE@TERRA.COM.BR;CONCOBRE@TERRA.COM.BR;http://intercities.com.br;29/03/2019 10:02:37;29/03/2021 10:02:37;00.886.412/0001-70;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
ELADIO PINO DA ROCHA JUNIOR;JR - LOCAÇÕES E SERVIÇOS;00.947.508/0001-00;MICROEMPRESA;05/12/1995;Em Operação;Locadora de Veículos para Turistas;57046-320;AL;Maceió;Serraria;Pedro de Melo Mota; - ;(82)9982-3283;eladiopino@gmail.com;eladiopino@gmail.com; - ;17/08/2018 11:11:53;17/08/2020 11:11:53;00.947.508/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
S AMORIM DOS SANTOS LOCACAO E TURISMO EIRELI;OLHO VIVO LOCACAO & TURISMO;00.968.345/0001-33;EMPRESA DE PEQUENO PORTE;18/12/1995;Em Operação;Locadora de Veículos para Turistas;65500-000;MA;Chapadinha; - ;175;;(98)3471-2260;olhovivo-2@hotmail.com;olhovivo-2@hotmail.com; - ;21/01/2019 15:11:16;21/01/2021 15:11:16;00.968.345/0001-33;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
SATURNINO TURISMO LTDA;DIAMANTINA TURISMO;01.001.266/0001-11;EMPRESA DE PEQUENO PORTE;12/01/1996;Em Operação;Locadora de Veículos para Turistas;44905-000;BA;Lapão; - ;avenida antonio carlos magalhaes ;centro;(74)3657-1210;SATURLAPAO@GMAIL.COM;SATURLAPAO@GMAIL.COM; - ;03/07/2019 10:22:06;03/07/2021 10:22:06;01.001.266/0001-11;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
TRANSPORTADORA E LOCADORA DE VEICULOS MCR LTDA;GUIMARAES TRANSPORTADORA E LOCADORA;01.099.497/0001-00;DEMAIS;14/03/1996;Em Operação;Locadora de Veículos para Turistas;44700-000;BA;Jacobina; - ;RUA ROSA VALOIS 105 NAZARE;;(74)3621-5766;ATENDIMENTO@LOCADORAGUIMARAES.COM.BR;ATENDIMENTO@LOCADORAGUIMARAES.COM.BR; - ;12/06/2019 10:08:04;12/06/2021 10:08:04;01.099.497/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
RIVELINO CASTELO BRANCO CRAVEIRO;RANIERI LOCADORA;01.120.734/0001-77;MICROEMPRESA;25/03/1996;Em Operação;Locadora de Veículos para Turistas;60165-011;CE;Fortaleza;Praia de Iracema;Monsenhor Tabosa 1001;loja 14;(85)3032-2893;ranierilocadora@gmail.com;ranierilocadora@gmail.com;www.ranierilocadora.com;05/04/2018 23:24:30;05/04/2020 23:24:30;01.120.734/0001-77;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário Individual; - ; - ; - ; - ;0;2020T01
TRIDENTE EMPREENDIMENTOS MARITIMOS E TERRESTRES LTDA.;V H TOUR;01.179.482/0001-51;MICROEMPRESA;18/03/1996;Em Operação;Locadora de Veículos para Turistas;28912-150;RJ;Cabo Frio;Praia do Siqueira;Piracicaba;14 casa 03;(22)2648-2955;tridentevhtour@gmail.com;tridentevhtour@gmail.com; - ;07/01/2019 11:11:35;07/01/2021 11:11:35;01.179.482/0001-51;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Simples Limitada;Terrestre; - ;Utilitário;Espanhol|Inglês;1;2020T01
FRANCISCO E. SILVA CAPIISTRANIO EIRELI;GRUPO ADONAI LOCACAO E TRANSPORTE LOGISTICO;01.200.121/0001-40;EMPRESA DE PEQUENO PORTE;17/04/1996;Em Operação;Locadora de Veículos para Turistas;68455-220;PA;Tucuruí;Santa Mônica;Cinco;Grupo Adonai;(94)3787-3322;GRUPOADONAI.COMERCIAL@GMAIL.COM;GRUPOADONAI.COMERCIAL@GMAIL.COM;www.grupoadonai.com.br;03/02/2020 15:30:55;03/02/2022 15:30:55;01.200.121/0001-40;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
SANTIAGO - TURISMO, FRETAMENTO E SERVICOS LTDA;SANTIAGO TURISMO;01.329.578/0001-59;MICROEMPRESA;18/07/1996;Em Operação;Locadora de Veículos para Turistas;18460-000;SP;Itararé; - ;RODOVIA FRANCISCO ALVES NEGRÃO KM 339,8;;(15)3532-4628;gerencia@santiagotransportes.com.br;gerencia@santiagotransportes.com.br; - ;15/05/2019 14:08:17;15/05/2021 14:08:17;01.329.578/0001-59;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
PURIM TURISMO LTDA;PURIM TURISMO LTDA ME;01.400.739/0001-53;MICROEMPRESA;30/08/1996;Em Operação;Locadora de Veículos para Turistas;27350-370;RJ;Barra Mansa;Jardim Boa Vista;Ministro Amaral Peixoto; - ;(24)3323-0398;PURIMTURISMO@BOL.COM.BR;PURIMTURISMO@BOL.COM.BR; - ;24/01/2019 17:32:26;24/01/2021 17:32:26;01.400.739/0001-53;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
LBF MATEUS LOCADORA LTDA;LOCAR LOCADORA DE AUTOMOVEIS;01.466.733/0001-89;MICROEMPRESA;07/10/1996;Em Operação;Locadora de Veículos para Turistas;27331-100;RJ;Barra Mansa;Boa Sorte;Deputado Paulo Biar; - ;(24)3323-9421;tc.mateus@uol.com.br;tc.mateus@uol.com.br; - ;07/06/2019 11:58:50;07/06/2021 11:58:50;01.466.733/0001-89;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
TRANSTOP LOCACAO DE VEICULOS E MAQUINAS LTDA;TRANSTOP;01.488.787/0001-45;DEMAIS;22/10/1996;Em Operação;Locadora de Veículos para Turistas;49080-380;SE;Aracaju;América;Nova Paraíba; - ;(79)3259-2378;transtop@transtoplocadora.com.br;transtop@transtoplocadora.com.br; - ;19/09/2019 17:58:26;19/09/2021 17:58:26;01.488.787/0001-45;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
TANGARA VEICULOS EIRELI;TANGARA VEICULOS EIRELI EPP;01.519.567/0001-31;EMPRESA DE PEQUENO PORTE;06/11/1996;Em Operação;Locadora de Veículos para Turistas;59030-600;RN;Natal;Alecrim;dos Canindés;1250 ;(84)3223-5654;TANGARAVEICULOS@GMAIL.COM;TANGARAVEICULOS@GMAIL.COM;www.tangaraveiculos.com.br;16/05/2018 09:30:29;16/05/2020 09:30:29;01.519.567/0001-31;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
AGMAR GARCIA GELLER;GELLER TRANSPORTE;01.577.329/0001-82;MICROEMPRESA;30/04/1986;Em Operação;Locadora de Veículos para Turistas;79003-020;MS;Campo Grande;Itanhangá Park;Joaquim Murtinho; - ;(67)3305-3890;r7solucoesempresarial@gmail.com;r7solucoesempresarial@gmail.com; - ;20/03/2019 10:14:26;20/03/2021 10:14:26;01.577.329/0001-82;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
INVESTCAR VEICULOS LTDA;INVESTCAR VEICULOS;01.615.224/0001-70;MICROEMPRESA;13/01/1997;Em Operação;Locadora de Veículos para Turistas;71250-010;DF;Brasília;Zona Industrial (Guará);SCIA Quadra 15 Conjunto 2;Lote 8;(61)4141-7506;comercialinvestcar@gmail.com;comercialinvestcar@gmail.com; - ;23/04/2018 14:36:17;23/04/2020 14:36:17;01.615.224/0001-70;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Francês|Inglês;0;2020T01
JOAO LUIZ DA COSTA JUNIOR;JR LOCADORA DE VEICULOS RENT A CAR;01.634.988/0001-03;MICROEMPRESA;30/01/1997;Em Operação;Locadora de Veículos para Turistas;60420-510;CE;Fortaleza;Montese;Senador Sá; - ;(85)3232-2653;jrrentacarjr@hotmail.com;jrrentacarjr@hotmail.com; - ;06/04/2018 21:57:18;06/04/2020 21:57:18;01.634.988/0001-03;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ;Português;0;2020T01
COOPERATIVA MANCHESTER DE PRESTACAO DE SERVICOS DE TRAN;Cooperman;01.648.994/0001-10;DEMAIS;09/01/1997;Em Operação;Locadora de Veículos para Turistas;36081-650;MG;Juiz de Fora;Francisco Bernardino;Professora Jacy Gotelipe de Aguiar,20; - ;(32)3221-1203;van@coopermanjf.com.br;van@coopermanjf.com.br; - ;30/08/2019 16:36:13;30/08/2021 16:36:13;01.648.994/0001-10;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Cooperativa; - ; - ; - ; - ;0;2020T01
LIFE BRASIL TRANSPORTES EXECUTIVO EIRELI;LIFE BRASIL LOCADORA DE VEICULOS;01.761.813/0001-67;MICROEMPRESA;28/02/1997;Em Operação;Locadora de Veículos para Turistas;04477-090;SP;São Paulo;Eldorado;Gustavo Garcia; - ;(11)2805-3896;COMERCIAL@LIFEBRASIL.COM.BR;COMERCIAL@LIFEBRASIL.COM.BR;www.lifebrasil.com.br;24/08/2018 11:26:56;24/08/2020 11:26:56;01.761.813/0001-67;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Inglês;0;2020T01
LOC MAIS LOCACAO DE VEICULOS LTDA;MA+S ALUGUEL DE CARROS;01.790.881/0001-54;MICROEMPRESA;29/04/1997;Em Operação;Locadora de Veículos para Turistas;35160-005;MG;Ipatinga;Centro;Montes Claros, 101;Sala 201;(31)3827-0273;MAISRENTCAR@HOTMAIL.COM;MAISRENTCAR@HOTMAIL.COM; - ;03/07/2019 15:15:33;03/07/2021 15:15:33;01.790.881/0001-54;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
CELENTUR TRANSPORTE E TURISMO LTDA;CELENTUR TRANSPORTE E TURISMO;01.857.692/0001-51;MICROEMPRESA;10/03/1997;Em Operação;Locadora de Veículos para Turistas;20551-031;RJ;Rio de Janeiro;Vila Isabel;Vinte e Oito de Setembro; - ;(21)3217-1300;CELENTUR@CELENTUR.COM.BR;CELENTUR@CELENTUR.COM.BR;WWW.CELENTUR.COM.BR;14/02/2020 10:03:59;14/02/2022 10:03:59;01.857.692/0001-51;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Utilitário;Francês|Inglês;1;2020T01
VITOR BASTOS WERNECK;W4;01.857.859/0001-84;MICROEMPRESA;23/05/1997;Em Operação;Locadora de Veículos para Turistas;44900-000;BA;Irecê; - ;ROD BA 052 KM 353, S/N;TERREO ;(74)3641-2594;FINANCEIROWERNECK@GMAIL.COM;FINANCEIROWERNECK@GMAIL.COM; - ;25/07/2018 10:22:01;25/07/2020 10:22:01;01.857.859/0001-84;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
SOCTUR TURISMO EIRELI;SOCTUR;01.889.198/0001-79;MICROEMPRESA;03/06/1997;Em Operação;Locadora de Veículos para Turistas;39400-105;MG;Montes Claros;Centro;Engenheiro João Antônio Pimenta;- até 210/211;(38)3222-4133;sociedadeturismo@hotmail.com;sociedadeturismo@hotmail.com; - ;23/04/2019 16:53:16;23/04/2021 16:53:16;01.889.198/0001-79;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
ALA VEICULOS LTDA;ALA VEICULOS;01.935.064/0001-47;MICROEMPRESA;23/05/1997;Em Operação;Locadora de Veículos para Turistas;38280-000;MG;Iturama; - ;av juca padua ;625;(34)3411-1010;fatima.iturama@gmail.com;fatima.iturama@gmail.com;www.alaveiculosltda.com;27/05/2019 09:33:05;27/05/2021 09:33:05;01.935.064/0001-47;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
CAVAJAS & CAVAJAS LTDA;HE TRANSPORTES EXECUTIVOS;01.943.590/0001-59;MICROEMPRESA;17/06/1997;Em Operação;Locadora de Veículos para Turistas;13202-600;SP;Jundiaí;Vila Arens II;Moreira César; - ;(11)4816-7824;contato@hetransporte.com.br;contato@hetransporte.com.br; - ;06/02/2019 13:37:21;06/02/2021 13:37:21;01.943.590/0001-59;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
ROCHA & PINHEIRO LOCADORA DE VEICULOS LTDA;S P TUR LOCADORA DE VEICULOS;01.966.881/0001-62;EMPRESA DE PEQUENO PORTE;02/07/1997;Em Operação;Locadora de Veículos para Turistas;13470-130;SP;Americana;Parque das Nações;Moçambique; - ;(19)9920-9599;pinheiroquezia@ig.com.br;pinheiroquezia@ig.com.br; - ;29/03/2019 14:07:22;29/03/2021 14:07:22;01.966.881/0001-62;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
C A S LOCACAO E SERVICO LTDA;EXECUTIVA RENT A CAR;01.971.883/0001-40;EMPRESA DE PEQUENO PORTE;17/07/1997;Em Operação;Locadora de Veículos para Turistas;60020-060;CE;Fortaleza;Benfica;Rua Marechal Deodoro, 609;;(85)3242-7088;executivacas@gmail.com;executivacas@gmail.com; - ;09/08/2018 15:56:00;09/08/2020 15:56:00;01.971.883/0001-40;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Português;0;2020T01
DEL PLATA TRANSPORTES & LOCACAO LTDA;DEL PLATA TRANSPORTES & LOCACAO;01.976.264/0001-48;EMPRESA DE PEQUENO PORTE;17/07/1997;Em Operação;Locadora de Veículos para Turistas;12237-250;SP;São José dos Campos;Conjunto Residencial Trinta e Um de Março;Vicente Luiz Pereira; - ;(12)3931-4206;del.plata@uol.com.br;del.plata@uol.com.br; - ;24/07/2019 12:23:53;24/07/2021 12:23:53;01.976.264/0001-48;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
JM CAR LOCACAO DE VEICULOS LTDA;JM CAR ALUGUEL DE CARROS;02.030.753/0001-75;EMPRESA DE PEQUENO PORTE;31/07/1997;Em Operação;Locadora de Veículos para Turistas;88070-605;SC;Florianópolis;Estreito;Souza Dutra, 601;;(48)3348-1337;jmcar@jmcar.com.br;jmcar@jmcar.com.br;www.jmcar.com.br;30/09/2019 15:56:02;30/09/2021 15:56:02;02.030.753/0001-75;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol|Inglês;0;2020T01
PASSAUTO AUTO CENTER LTDA;PASSAUTO AUTO CENTER LTDA-ME;02.084.612/0001-35;MICROEMPRESA;24/06/1997;Em Operação;Locadora de Veículos para Turistas;22290-030;RJ;Rio de Janeiro;Botafogo;da Passagem; - ;(21)2541-3045;montalto@montalto.com.br;montalto@montalto.com.br;www.montalto.com.br;24/05/2019 09:46:12;24/05/2021 09:46:12;02.084.612/0001-35;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Alemão|Espanhol|Francês|Inglês;0;2020T01
GUY DE SOUSA NEVES;SANTA EDWIGES VIAGENS;02.163.381/0001-55;MICROEMPRESA;13/10/1997;Em Operação;Locadora de Veículos para Turistas;61913-120;CE;Fortaleza;Cágado;12;Residencial Maracanaú ;(85)9810-9690;aline.nini.alves@hotmail.com;aline.nini.alves@hotmail.com; - ;02/10/2018 08:23:39;02/10/2020 08:23:39;02.163.381/0001-55;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
VELOSO LOCADORA DE VEICULOS, TURISMO, EVENTOS E CULTURA LTDA - ME;VELOSO VIP SERVICES;02.172.667/0001-05;MICROEMPRESA;16/10/1997;Em Operação;Locadora de Veículos para Turistas;70673-633;DF;Brasília;Setor Sudoeste;CLSW 304 Bloco C;Ed. Unique Center Lj 45 s/s;(61)3322-4777;velosovip@velosovip.com.br;velosovip@velosovip.com.br; - ;18/04/2018 15:45:52;18/04/2020 15:45:52;02.172.667/0001-05;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Alemão|Espanhol|Francês|Inglês|Italiano|Japonês|Mandarim|Português;0;2020T01
